"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,7.896858E-10
0,0.6666667,1.089026E-07
0,1,1.363753E-06
0,1.333333,7.038371E-06
0,1.666667,2.311164E-05
0,2,5.784746E-05
0,2.333333,0.0001209428
0,2.666667,0.0002225949
0,3,0.0003726787
0,3.333333,0.0005801182
0,3.666667,0.0008524671
0,4,0.001195679
0,4.333333,0.001614029
0,4.666667,0.00211016
0,5,0.002685192
0,5.333333,0.003338899
0,5.666667,0.0040699
0,6,0.004875857
0,6.333333,0.005753668
0,6.666667,0.006699648
0,7,0.007709743
0,7.333333,0.008779616
0,7.666667,0.009904752
0,8,0.01108061
0,8.333333,0.01230266
0,8.666667,0.01356648
0,9,0.01486778
0,9.333333,0.01620249
0,9.666667,0.01756675
0,10,0.0189569
0,10.33333,0.02036956
0,10.66667,0.02180155
0,11,0.02324994
0,11.33333,0.02471204
0,11.66667,0.02618535
0,12,0.02766761
0,12.33333,0.02915676
0,12.66667,0.03065092
0,13,0.03214839
0,13.33333,0.03364762
0,13.66667,0.03514722
0,14,0.03664596
0,14.33333,0.03814271
0,14.66667,0.03963647
0,15,0.04112634
0,15.33333,0.04261152
0,15.66667,0.04409131
0,16,0.04556508
0,16.33333,0.04703227
0,16.66667,0.04849239
0,17,0.04994502
0,17.33333,0.05138977
0,17.66667,0.05282632
0,18,0.05425438
0,18.33333,0.05567371
0,18.66667,0.05708411
0,19,0.05848537
0,19.33333,0.05987738
0,19.66667,0.06125998
0,20,0.0626331
0,20.33333,0.06399665
0,20.66667,0.06535057
0,21,0.0666948
0,21.33333,0.06802931
0,21.66667,0.06935409
0,22,0.07066913
0,22.33333,0.07197443
0,22.66667,0.07327001
0,23,0.07455588
0,23.33333,0.07583209
0,23.66667,0.07709867
0,24,0.07835565
0,24.33333,0.07960308
0,24.66667,0.08084103
0,25,0.08206953
0,25.33333,0.08328865
0,25.66667,0.08449847
0,26,0.08569903
0,26.33333,0.0868904
0,26.66667,0.08807267
0,27,0.08924588
0,27.33333,0.09041013
0,27.66667,0.09156548
0,28,0.09271201
0,28.33333,0.09384979
0,28.66667,0.09497891
0,29,0.09609942
0,29.33333,0.09721143
0,29.66667,0.098315
0,30,0.09941021
0,30.33333,0.1004971
0,30.66667,0.1015759
0,31,0.1026465
0,31.33333,0.103709
0,31.66667,0.1047636
0,32,0.1058103
0,32.33333,0.1068491
0,32.66667,0.1078803
0,33,0.1089037
0,33.33333,0.1099196
0,33.66667,0.110928
0,34,0.1119289
0,34.33333,0.1129224
0,34.66667,0.1139087
0,35,0.1148877
0,35.33333,0.1158596
0,35.66667,0.1168244
0,36,0.1177823
0,36.33333,0.1187331
0,36.66667,0.1196771
0,37,0.1206144
0,37.33333,0.1215448
0,37.66667,0.1224687
0,38,0.1233859
0,38.33333,0.1242966
0,38.66667,0.1252008
0,39,0.1260986
0,39.33333,0.1269901
0,39.66667,0.1278753
0,40,0.1287543
0,40.33333,0.1296272
0,40.66667,0.1304939
0,41,0.1313547
0,41.33333,0.1322094
0,41.66667,0.1330583
0,42,0.1339013
0,42.33333,0.1347385
0,42.66667,0.13557
0,43,0.1363958
0,43.33333,0.1372159
0,43.66667,0.1380305
0,44,0.1388396
0,44.33333,0.1396431
0,44.66667,0.1404413
0,45,0.1412342
0,45.33333,0.1420217
0,45.66667,0.1428039
0,46,0.143581
0,46.33333,0.1443529
0,46.66667,0.1451197
0,47,0.1458814
0,47.33333,0.1466381
0,47.66667,0.1473898
0,48,0.1481366
0,48.33333,0.1488786
0,48.66667,0.1496157
0,49,0.150348
0,49.33333,0.1510756
0,49.66667,0.1517986
0,50,0.1525168
0,50.33333,0.1532305
0,50.66667,0.1539396
0,51,0.1546441
0,51.33333,0.1553442
0,51.66667,0.1560399
0,52,0.1567311
0,52.33333,0.157418
0,52.66667,0.1581006
0,53,0.1587789
0,53.33333,0.1594529
0,53.66667,0.1601228
0,54,0.1607884
0,54.33333,0.16145
0,54.66667,0.1621074
0,55,0.1627608
0,55.33333,0.1634102
0,55.66667,0.1640555
0,56,0.1646969
0,56.33333,0.1653345
0,56.66667,0.1659681
0,57,0.1665979
0,57.33333,0.1672238
0,57.66667,0.167846
0,58,0.1684644
0,58.33333,0.1690791
0,58.66667,0.1696901
0,59,0.1702975
0,59.33333,0.1709012
0,59.66667,0.1715014
0,60,0.172098
0,60.33333,0.172691
0,60.66667,0.1732806
0,61,0.1738666
0,61.33333,0.1744492
0,61.66667,0.1750284
0,62,0.1756043
0,62.33333,0.1761767
0,62.66667,0.1767458
0,63,0.1773116
0,63.33333,0.1778742
0,63.66667,0.1784335
0,64,0.1789895
0,64.33334,0.1795424
0,64.66666,0.1800921
0,65,0.1806386
0,65.33334,0.181182
0,65.66666,0.1817223
0,66,0.1822595
0,66.33334,0.1827938
0,66.66666,0.1833249
0,67,0.1838531
0,67.33334,0.1843783
0,67.66666,0.1849005
0,68,0.1854198
0,68.33334,0.1859362
0,68.66666,0.1864498
0,69,0.1869604
0,69.33334,0.1874682
0,69.66666,0.1879732
0,70,0.1884754
0,70.33334,0.1889749
0,70.66666,0.1894716
0,71,0.1899655
0,71.33334,0.1904567
0,71.66666,0.1909453
0,72,0.1914312
0,72.33334,0.1919144
0,72.66666,0.192395
0,73,0.192873
0,73.33334,0.1933484
0,73.66666,0.1938213
0,74,0.1942915
0,74.33334,0.1947593
0,74.66666,0.1952245
0,75,0.1956873
0,75.33334,0.1961475
0,75.66666,0.1966053
0,76,0.1970607
0,76.33334,0.1975136
0,76.66666,0.1979642
0,77,0.1984123
0,77.33334,0.1988581
0,77.66666,0.1993016
0,78,0.1997427
0,78.33334,0.2001814
0,78.66666,0.2006179
0,79,0.2010521
0,79.33334,0.201484
0,79.66666,0.2019137
0,80,0.2023412
0,80.33334,0.2027664
0,80.66666,0.2031894
0,81,0.2036102
0,81.33334,0.2040289
0,81.66666,0.2044454
0,82,0.2048597
0,82.33334,0.205272
0,82.66666,0.2056821
0,83,0.2060901
0,83.33334,0.206496
0,83.66666,0.2068999
0,84,0.2073017
0,84.33334,0.2077015
0,84.66666,0.2080993
0,85,0.208495
0,85.33334,0.2088888
0,85.66666,0.2092805
0,86,0.2096703
0,86.33334,0.2100582
0,86.66666,0.2104441
0,87,0.2108281
0,87.33334,0.2112101
