"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,3.071021E-11
0,0.6666667,7.092336E-09
0,1,1.204924E-07
0,1.333333,7.67087E-07
0,1.666667,2.949879E-06
0,2,8.386021E-06
0,2.333333,1.952622E-05
0,2.666667,3.949001E-05
0,3,7.194794E-05
0,3.333333,0.0001209767
0,3.666667,0.00019091
0,4,0.0002861928
0,4.333333,0.0004112478
0,4.666667,0.0005703602
0,5,0.0007675833
0,5.333333,0.001006665
0,5.666667,0.001290984
0,6,0.001623512
0,6.333333,0.002006785
0,6.666667,0.002442889
0,7,0.002933473
0,7.333333,0.003479751
0,7.666667,0.004082523
0,8,0.004742191
0,8.333333,0.005458786
0,8.666667,0.006232001
0,9,0.007061227
0,9.333333,0.00794558
0,9.666667,0.00888394
0,10,0.009874977
0,10.33333,0.01091719
0,10.66667,0.01200893
0,11,0.01314842
0,11.33333,0.01433382
0,11.66667,0.01556318
0,12,0.01683454
0,12.33333,0.01814588
0,12.66667,0.01949521
0,13,0.02088049
0,13.33333,0.02229973
0,13.66667,0.02375097
0,14,0.02523226
0,14.33333,0.02674172
0,14.66667,0.02827751
0,15,0.02983782
0,15.33333,0.03142095
0,15.66667,0.0330252
0,16,0.03464899
0,16.33333,0.03629077
0,16.66667,0.03794906
0,17,0.03962245
0,17.33333,0.04130959
0,17.66667,0.0430092
0,18,0.04472006
0,18.33333,0.046441
0,18.66667,0.04817091
0,19,0.04990877
0,19.33333,0.05165356
0,19.66667,0.05340437
0,20,0.05516029
0,20.33333,0.0569205
0,20.66667,0.0586842
0,21,0.06045064
0,21.33333,0.06221914
0,21.66667,0.06398901
0,22,0.06575964
0,22.33333,0.06753044
0,22.66667,0.06930086
0,23,0.07107039
0,23.33333,0.07283853
0,23.66667,0.07460483
0,24,0.07636886
0,24.33333,0.07813022
0,24.66667,0.07988853
0,25,0.08164344
0,25.33333,0.08339462
0,25.66667,0.08514176
0,26,0.08688457
0,26.33333,0.08862279
0,26.66667,0.09035616
0,27,0.09208445
0,27.33333,0.09380744
0,27.66667,0.09552494
0,28,0.09723675
0,28.33333,0.09894268
0,28.66667,0.1006426
0,29,0.1023363
