"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,5.97629E-07
0,0.6666667,0.0001094908
0,1,0.001532199
0,1.333333,0.008519753
0,1.666667,0.03018149
0,2,0.08132992
0,2.333333,0.1807756
0,2.666667,0.3480856
0,3,0.6008464
0,3.333333,0.9530839
0,3.666667,1.414675
0,4,1.991418
0,4.333333,2.68552
0,4.666667,3.496191
0,5,4.420291
0,5.333333,5.452942
0,5.666667,6.588053
0,6,7.818723
0,6.333333,9.137572
0,6.666667,10.537
0,7,12.00938
0,7.333333,13.54719
0,7.666667,15.14316
0,8,16.79031
0,8.333333,18.48192
0,8.666667,20.21164
0,9,21.97349
0,9.333333,23.76186
0,9.666667,25.5715
0,10,27.39754
0,10.33333,29.23546
0,10.66667,31.08107
0,11,32.93052
0,11.33333,34.78024
0,11.66667,36.62697
0,12,38.46774
0,12.33333,40.29981
0,12.66667,42.1207
0,13,43.92816
0,13.33333,45.72013
0,13.66667,47.49478
0,14,49.25043
0,14.33333,50.98558
0,14.66667,52.69891
0,15,54.3892
0,15.33333,56.0554
0,15.66667,57.69657
0,16,59.31188
0,16.33333,60.90062
0,16.66667,62.46214
0,17,63.99593
0,17.33333,65.50153
0,17.66667,66.97853
0,18,68.42626
0,18.33333,69.84204
0,18.66667,71.22015
0,19,72.55286
0,19.33333,73.83201
0,19.66667,75.05018
0,20,76.20135
0,20.33333,77.28136
0,20.66667,78.28785
0,21,79.21999
0,21.33333,80.07822
0,21.66667,80.86391
0,22,81.57925
0,22.33333,82.22701
0,22.66667,82.81026
0,23,83.33233
0,23.33333,83.7966
0,23.66667,84.20645
0,24,84.56514
0,24.33333,84.87601
0,24.66667,85.14192
0,25,85.36606
0,25.33333,85.55101
0,25.66667,85.69964
0,26,85.81439
0,26.33333,85.89771
0,26.66667,85.95184
0,27,85.97886
0,27.33333,85.98068
0,27.66667,85.95909
0,28,85.9157
0,28.33333,85.85203
0,28.66667,85.76948
0,29,85.66933
0,29.33333,85.55283
0,29.66667,85.4211
0,30,85.27518
0,30.33333,85.11605
0,30.66667,84.94457
0,31,84.76157
0,31.33333,84.56779
0,31.66667,84.36392
0,32,84.15055
0,32.33333,83.92809
0,32.66667,83.69687
0,33,83.45724
0,33.33333,83.20949
0,33.66667,82.95391
0,34,82.69086
0,34.33333,82.4207
0,34.66667,82.14381
0,35,81.86056
0,35.33333,81.57136
0,35.66667,81.27657
0,36,80.97661
0,36.33333,80.67181
0,36.66667,80.36256
0,37,80.04916
0,37.33333,79.73197
0,37.66667,79.41127
0,38,79.08736
0,38.33333,78.76053
0,38.66667,78.43102
0,39,78.09907
0,39.33333,77.76491
0,39.66667,77.42876
0,40,77.09081
0,40.33333,76.75127
0,40.66667,76.41029
0,41,76.06806
0,41.33333,75.72473
0,41.66667,75.38045
0,42,75.03536
0,42.33333,74.68959
0,42.66667,74.34328
0,43,73.99653
0,43.33333,73.64946
0,43.66667,73.30217
0,44,72.95477
0,44.33333,72.60735
0,44.66667,72.26
0,45,71.91281
0,45.33333,71.56586
0,45.66667,71.21923
0,46,70.87299
0,46.33333,70.5272
0,46.66667,70.18195
0,47,69.83729
0,47.33333,69.49328
0,47.66667,69.14999
0,48,68.80747
0,48.33333,68.46577
0,48.66667,68.12496
0,49,67.78507
0,49.33333,67.44615
0,49.66667,67.10825
0,50,66.77142
0,50.33333,66.43569
0,50.66667,66.10111
0,51,65.76772
0,51.33333,65.43554
0,51.66667,65.10462
0,52,64.77499
0,52.33333,64.44669
0,52.66667,64.11974
0,53,63.79419
0,53.33333,63.47004
0,53.66667,63.14734
0,54,62.8261
0,54.33333,62.50636
0,54.66667,62.18814
0,55,61.87146
0,55.33333,61.55635
0,55.66667,61.24281
0,56,60.93089
0,56.33333,60.62059
0,56.66667,60.31194
0,57,60.00494
0,57.33333,59.69962
0,57.66667,59.39598
0,58,59.09406
0,58.33333,58.79386
0,58.66667,58.49539
0,59,58.19867
0,59.33333,57.90369
0,59.66667,57.61048
0,60,57.31904
0,60.33333,57.0294
0,60.66667,56.74155
0,61,56.4555
0,61.33333,56.17126
0,61.66667,55.88883
0,62,55.60822
0,62.33333,55.32943
0,62.66667,55.05248
0,63,54.77737
0,63.33333,54.50409
0,63.66667,54.23265
0,64,53.96306
0,64.33334,53.69532
0,64.66666,53.42942
0,65,53.16538
0,65.33334,52.90319
0,65.66666,52.64284
0,66,52.38435
0,66.33334,52.1277
0,66.66666,51.87291
0,67,51.61997
0,67.33334,51.36887
0,67.66666,51.11962
0,68,50.8722
0,68.33334,50.62663
0,68.66666,50.38289
0,69,50.14098
0,69.33334,49.9009
0,69.66666,49.66264
0,70,49.4262
0,70.33334,49.19157
0,70.66666,48.95876
0,71,48.72775
0,71.33334,48.49854
0,71.66666,48.27112
0,72,48.04548
0,72.33334,47.82163
0,72.66666,47.59956
0,73,47.37925
0,73.33334,47.1607
0,73.66666,46.9439
0,74,46.72886
0,74.33334,46.51555
0,74.66666,46.30397
0,75,46.09412
0,75.33334,45.88598
0,75.66666,45.67955
0,76,45.47482
0,76.33334,45.27179
0,76.66666,45.07043
0,77,44.87075
0,77.33334,44.67273
0,77.66666,44.47637
0,78,44.28165
0,78.33334,44.08858
0,78.66666,43.89713
0,79,43.70731
0,79.33334,43.51909
0,79.66666,43.33248
0,80,43.14745
0,80.33334,42.96402
0,80.66666,42.78215
0,81,42.60184
0,81.33334,42.42309
0,81.66666,42.24588
0,82,42.0702
0,82.33334,41.89605
0,82.66666,41.72341
0,83,41.55228
0,83.33334,41.38264
0,83.66666,41.21448
0,84,41.04779
0,84.33334,40.88257
0,84.66666,40.7188
0,85,40.55648
0,85.33334,40.39558
0,85.66666,40.23611
0,86,40.07806
0,86.33334,39.92141
0,86.66666,39.76614
0,87,39.61226
0,87.33334,39.45975
0,87.66666,39.30861
0,88,39.15881
0,88.33334,39.01035
0,88.66666,38.86323
0,89,38.71743
0,89.33334,38.57293
0,89.66666,38.42974
0,90,38.28784
0,90.33334,38.14722
0,90.66666,38.00787
0,91,37.86978
0,91.33334,37.73294
0,91.66666,37.59734
0,92,37.46297
0,92.33334,37.32983
0,92.66666,37.19789
0,93,37.06715
0,93.33334,36.93761
0,93.66666,36.80925
0,94,36.68205
0,94.33334,36.55602
0,94.66666,36.43114
0,95,36.3074
0,95.33334,36.1848
0,95.66666,36.06332
0,96,35.94296
0,96.33334,35.82369
0,96.66666,35.70552
0,97,35.58844
0,97.33334,35.47244
0,97.66666,35.3575
0,98,35.24362
0,98.33334,35.13079
0,98.66666,35.01899
0,99,34.90823
0,99.33334,34.79849
0,99.66666,34.68976
0,100,34.58204
0,100.3333,34.4753
0,100.6667,34.36956
0,101,34.26479
0,101.3333,34.16099
0,101.6667,34.05815
0,102,33.95626
0,102.3333,33.85531
0,102.6667,33.7553
0,103,33.65621
0,103.3333,33.55804
0,103.6667,33.46078
0,104,33.36441
0,104.3333,33.26894
0,104.6667,33.17436
0,105,33.08065
0,105.3333,32.98781
0,105.6667,32.89582
0,106,32.80469
0,106.3333,32.71441
0,106.6667,32.62495
0,107,32.53633
0,107.3333,32.44853
0,107.6667,32.36154
0,108,32.27536
0,108.3333,32.18997
0,108.6667,32.10538
0,109,32.02156
0,109.3333,31.93853
0,109.6667,31.85626
0,110,31.77475
0,110.3333,31.69399
0,110.6667,31.61399
0,111,31.53472
0,111.3333,31.45618
0,111.6667,31.37837
0,112,31.30128
0,112.3333,31.2249
0,112.6667,31.14922
0,113,31.07424
0,113.3333,30.99995
0,113.6667,30.92635
0,114,30.85343
0,114.3333,30.78118
0,114.6667,30.70959
0,115,30.63866
0,115.3333,30.56838
0,115.6667,30.49875
0,116,30.42976
0,116.3333,30.3614
0,116.6667,30.29367
0,117,30.22656
0,117.3333,30.16006
0,117.6667,30.09418
0,118,30.02889
0,118.3333,29.96421
0,118.6667,29.90011
0,119,29.8366
0,119.3333,29.77367
0,119.6667,29.71132
0,120,29.64953
0,120.3333,29.58831
0,120.6667,29.52764
0,121,29.46752
0,121.3333,29.40795
0,121.6667,29.34892
0,122,29.29043
0,122.3333,29.23247
0,122.6667,29.17503
0,123,29.11811
0,123.3333,29.06171
0,123.6667,29.00581
0,124,28.95042
0,124.3333,28.89553
0,124.6667,28.84113
0,125,28.78723
0,125.3333,28.7338
0,125.6667,28.68086
0,126,28.62839
0,126.3333,28.57639
0,126.6667,28.52486
0,127,28.47379
0,127.3333,28.42317
0,127.6667,28.37301
0,128,28.32329
0,128.3333,28.27402
0,128.6667,28.22518
0,129,28.17678
0,129.3333,28.12881
0,129.6667,28.08125
0,130,28.03413
0,130.3333,27.98742
0,130.6667,27.94112
0,131,27.89522
0,131.3333,27.84974
0,131.6667,27.80465
0,132,27.75996
0,132.3333,27.71566
0,132.6667,27.67175
0,133,27.62822
0,133.3333,27.58507
0,133.6667,27.5423
0,134,27.4999
0,134.3333,27.45786
0,134.6667,27.4162
0,135,27.37489
0,135.3333,27.33394
0,135.6667,27.29335
0,136,27.2531
0,136.3333,27.21321
0,136.6667,27.17365
0,137,27.13444
0,137.3333,27.09556
0,137.6667,27.05702
0,138,27.0188
0,138.3333,26.98092
0,138.6667,26.94335
0,139,26.90611
0,139.3333,26.86918
0,139.6667,26.83256
0,140,26.79626
0,140.3333,26.76026
0,140.6667,26.72456
0,141,26.68917
0,141.3333,26.65407
0,141.6667,26.61927
0,142,26.58476
0,142.3333,26.55053
0,142.6667,26.5166
0,143,26.48294
0,143.3333,26.44957
0,143.6667,26.41647
0,144,26.38365
0,144.3333,26.3511
0,144.6667,26.31881
0,145,26.2868
0,145.3333,26.25504
0,145.6667,26.22355
0,146,26.19231
0,146.3333,26.16133
0,146.6667,26.1306
0,147,26.10013
0,147.3333,26.06989
0,147.6667,26.03991
0,148,26.01017
0,148.3333,25.98066
0,148.6667,25.9514
0,149,25.92237
0,149.3333,25.89357
0,149.6667,25.865
0,150,25.83666
0,150.3333,25.80855
0,150.6667,25.78066
0,151,25.75299
0,151.3333,25.72554
0,151.6667,25.69831
0,152,25.67129
0,152.3333,25.64448
0,152.6667,25.61788
0,153,25.59149
0,153.3333,25.56531
0,153.6667,25.53933
0,154,25.51355
0,154.3333,25.48797
0,154.6667,25.46259
0,155,25.43741
0,155.3333,25.41242
0,155.6667,25.38762
0,156,25.36301
0,156.3333,25.33859
0,156.6667,25.31435
0,157,25.2903
0,157.3333,25.26643
0,157.6667,25.24274
0,158,25.21923
0,158.3333,25.1959
0,158.6667,25.17274
0,159,25.14975
0,159.3333,25.12694
0,159.6667,25.10429
0,160,25.08181
0,160.3333,25.0595
0,160.6667,25.03736
0,161,25.01537
0,161.3333,24.99355
0,161.6667,24.97189
0,162,24.95038
0,162.3333,24.92904
0,162.6667,24.90784
0,163,24.8868
0,163.3333,24.86591
0,163.6667,24.84517
0,164,24.82459
0,164.3333,24.80414
0,164.6667,24.78385
0,165,24.76369
0,165.3333,24.74369
0,165.6667,24.72382
0,166,24.70409
0,166.3333,24.6845
0,166.6667,24.66505
0,167,24.64573
0,167.3333,24.62655
0,167.6667,24.6075
0,168,24.58858
0,168.3333,24.5698
0,168.6667,24.55114
0,169,24.53261
0,169.3333,24.51421
0,169.6667,24.49593
0,170,24.47778
0,170.3333,24.45975
0,170.6667,24.44184
0,171,24.42405
0,171.3333,24.40638
0,171.6667,24.38883
0,172,24.3714
0,172.3333,24.35408
0,172.6667,24.33688
0,173,24.31979
0,173.3333,24.30281
0,173.6667,24.28594
0,174,24.26918
0,174.3333,24.25254
0,174.6667,24.236
0,175,24.21956
0,175.3333,24.20324
0,175.6667,24.18702
0,176,24.1709
0,176.3333,24.15488
0,176.6667,24.13897
0,177,24.12316
0,177.3333,24.10744
0,177.6667,24.09183
0,178,24.07631
0,178.3333,24.06089
0,178.6667,24.04557
0,179,24.03034
0,179.3333,24.01521
0,179.6667,24.00017
0,180,23.98522
0,181,23.94092
0,182,23.89741
0,183,23.85468
0,184,23.81271
0,185,23.77147
0,186,23.73094
0,187,23.6911
0,188,23.65193
0,189,23.61342
0,190,23.57554
0,191,23.53827
0,192,23.50161
0,193,23.46553
0,194,23.43001
0,195,23.39505
0,196,23.36062
0,197,23.32672
0,198,23.29332
0,199,23.26042
0,200,23.22799
0,201,23.19604
0,202,23.16453
0,203,23.13347
0,204,23.10285
0,205,23.07264
0,206,23.04284
0,207,23.01344
0,208,22.98443
0,209,22.9558
0,210,22.92753
0,211,22.89962
0,212,22.87207
0,213,22.84485
0,214,22.81797
0,215,22.79141
0,216,22.76517
0,217,22.73924
0,218,22.71361
0,219,22.68827
0,220,22.66322
0,221,22.63845
0,222,22.61396
0,223,22.58973
0,224,22.56576
0,225,22.54205
0,226,22.51858
0,227,22.49536
0,228,22.47238
0,229,22.44963
0,230,22.42711
0,231,22.40481
0,232,22.38273
0,233,22.36086
0,234,22.3392
0,235,22.31774
0,236,22.29648
0,237,22.27542
0,238,22.25455
0,239,22.23387
0,240,22.21337
0,241,22.19306
0,242,22.17291
0,243,22.15295
0,244,22.13315
0,245,22.11352
0,246,22.09405
0,247,22.07474
0,248,22.05559
0,249,22.03659
0,250,22.01774
0,251,21.99905
0,252,21.9805
0,253,21.96209
0,254,21.94382
0,255,21.9257
0,256,21.90771
0,257,21.88985
0,258,21.87212
0,259,21.85453
0,260,21.83706
0,261,21.81972
0,262,21.8025
0,263,21.7854
0,264,21.76842
0,265,21.75156
0,266,21.73481
0,267,21.71818
0,268,21.70167
0,269,21.68526
0,270,21.66896
0,271,21.65277
0,272,21.63668
0,273,21.6207
0,274,21.60483
0,275,21.58905
0,276,21.57338
0,277,21.5578
0,278,21.54233
0,279,21.52695
0,280,21.51166
0,281,21.49647
0,282,21.48137
0,283,21.46637
0,284,21.45145
0,285,21.43662
0,286,21.42189
0,287,21.40724
0,288,21.39267
0,289,21.37819
0,290,21.3638
0,291,21.34949
0,292,21.33526
0,293,21.32112
0,294,21.30705
0,295,21.29307
0,296,21.27917
0,297,21.26534
0,298,21.25159
0,299,21.23792
0,300,21.22432
0,301,21.2108
0,302,21.19735
0,303,21.18398
0,304,21.17068
0,305,21.15745
0,306,21.1443
0,307,21.13121
0,308,21.1182
0,309,21.10526
0,310,21.09238
0,311,21.07957
0,312,21.06684
0,313,21.05416
0,314,21.04156
0,315,21.02902
0,316,21.01655
0,317,21.00414
0,318,20.9918
0,319,20.97952
0,320,20.9673
0,321,20.95515
0,322,20.94306
0,323,20.93103
0,324,20.91907
0,325,20.90716
0,326,20.89532
0,327,20.88354
0,328,20.87181
0,329,20.86014
0,330,20.84854
0,331,20.83699
0,332,20.8255
0,333,20.81407
0,334,20.80269
0,335,20.79137
0,336,20.78011
0,337,20.7689
0,338,20.75775
0,339,20.74665
0,340,20.73561
0,341,20.72462
0,342,20.71369
0,343,20.70281
0,344,20.69199
0,345,20.68121
0,346,20.67049
0,347,20.65982
0,348,20.64921
0,349,20.63864
0,350,20.62813
0,351,20.61767
0,352,20.60725
0,353,20.59689
0,354,20.58658
0,355,20.57632
0,356,20.5661
0,357,20.55594
0,358,20.54582
0,359,20.53576
0,360,20.52574
0,361,20.51577
0,362,20.50584
0,363,20.49597
0,364,20.48614
0,365,20.47636
0,366,20.46662
