"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,1.104692E-09
0,0.6666667,3.397368E-07
0,1,7.028772E-06
0,1.333333,5.099985E-05
0,1.666667,0.0002144638
0,2,0.0006470949
0,2.333333,0.001558392
0,2.666667,0.003187109
0,3,0.005765934
0,3.333333,0.009496505
0,3.666667,0.01453709
0,4,0.02099917
0,4.333333,0.02895107
0,4.666667,0.03842495
0,5,0.04942217
0,5.333333,0.06191906
0,5.666667,0.0758727
0,6,0.09122578
0,6.333333,0.10791
0,6.666667,0.1258489
0,7,0.1449606
0,7.333333,0.1651594
0,7.666667,0.1863576
0,8,0.2084666
0,8.333333,0.2313983
0,8.666667,0.2550654
0,9,0.2793825
0,9.333333,0.3042662
0,9.666667,0.3296362
0,10,0.355415
0,10.33333,0.3815283
0,10.66667,0.4079054
0,11,0.4344788
0,11.33333,0.4611848
0,11.66667,0.4879632
0,12,0.5147575
0,12.33333,0.5415143
0,12.66667,0.5681842
0,13,0.5947207
0,13.33333,0.6210806
0,13.66667,0.6472241
0,14,0.6731142
0,14.33333,0.6987169
0,14.66667,0.7240005
0,15,0.7489368
0,15.33333,0.7734993
0,15.66667,0.7976643
0,16,0.8214114
0,16.33333,0.8447198
0,16.66667,0.8675736
0,17,0.8899575
0,17.33333,0.9118574
0,17.66667,0.9332624
0,18,0.9541615
0,18.33333,0.9745466
0,18.66667,0.9944105
0,19,1.013747
0,19.33333,1.032551
0,19.66667,1.05082
0,20,1.06855
0,20.33333,1.085742
0,20.66667,1.102393
0,21,1.118504
0,21.33333,1.134077
0,21.66667,1.149114
0,22,1.163616
0,22.33333,1.177588
0,22.66667,1.191033
0,23,1.203955
0,23.33333,1.216359
0,23.66667,1.228251
0,24,1.239636
0,24.33333,1.25052
0,24.66667,1.26091
0,25,1.270812
0,25.33333,1.280234
0,25.66667,1.289181
0,26,1.297663
0,26.33333,1.305686
0,26.66667,1.313259
0,27,1.320388
0,27.33333,1.327083
0,27.66667,1.333351
0,28,1.339201
0,28.33333,1.34464
0,28.66667,1.349677
0,29,1.354321
0,29.33333,1.358579
0,29.66667,1.362461
0,30,1.365974
0,30.33333,1.369127
0,30.66667,1.371928
0,31,1.374386
0,31.33333,1.376509
0,31.66667,1.378304
0,32,1.37978
0,32.33333,1.380946
0,32.66667,1.381809
0,33,1.382376
0,33.33333,1.382657
0,33.66667,1.382658
0,34,1.382387
0,34.33333,1.381853
0,34.66667,1.381061
0,35,1.38002
0,35.33333,1.378737
0,35.66667,1.377219
0,36,1.375472
0,36.33333,1.373505
0,36.66667,1.371324
0,37,1.368934
0,37.33333,1.366344
0,37.66667,1.36356
0,38,1.360587
0,38.33333,1.357432
0,38.66667,1.354101
0,39,1.3506
0,39.33333,1.346935
0,39.66667,1.343112
0,40,1.339135
0,40.33333,1.335011
0,40.66667,1.330746
0,41,1.326345
0,41.33333,1.321812
0,41.66667,1.317153
0,42,1.312374
0,42.33333,1.307478
0,42.66667,1.30247
0,43,1.297356
0,43.33333,1.29214
0,43.66667,1.286825
0,44,1.281417
0,44.33333,1.275921
0,44.66667,1.270338
0,45,1.264674
0,45.33333,1.258934
0,45.66667,1.25312
0,46,1.247236
0,46.33333,1.241286
0,46.66667,1.235274
0,47,1.229203
0,47.33333,1.223076
0,47.66667,1.216896
0,48,1.210668
0,48.33333,1.204393
0,48.66667,1.198075
0,49,1.191718
0,49.33333,1.185323
0,49.66667,1.178893
0,50,1.172431
0,50.33333,1.165941
0,50.66667,1.159424
0,51,1.152882
0,51.33333,1.14632
0,51.66667,1.139737
0,52,1.133137
0,52.33333,1.126523
0,52.66667,1.119896
0,53,1.113257
0,53.33333,1.106611
0,53.66667,1.099957
0,54,1.093299
0,54.33333,1.086637
0,54.66667,1.079975
0,55,1.073313
0,55.33333,1.066653
0,55.66667,1.059996
0,56,1.053345
0,56.33333,1.046701
0,56.66667,1.040064
0,57,1.033438
0,57.33333,1.026823
0,57.66667,1.020219
0,58,1.013629
0,58.33333,1.007055
0,58.66667,1.000496
0,59,0.9939537
0,59.33333,0.98743
0,59.66667,0.9809256
0,60,0.9744412
0,60.33333,0.967978
0,60.66667,0.9615372
0,61,0.9551192
0,61.33333,0.948725
0,61.66667,0.9423558
0,62,0.9360121
0,62.33333,0.9296944
0,62.66667,0.9234039
0,63,0.9171412
0,63.33333,0.9109067
0,63.66667,0.9047012
0,64,0.8985254
0,64.33334,0.8923799
0,64.66666,0.886265
0,65,0.8801814
0,65.33334,0.8741298
0,65.66666,0.8681102
0,66,0.8621234
0,66.33334,0.8561698
0,66.66666,0.8502498
0,67,0.8443636
0,67.33334,0.8385117
0,67.66666,0.8326946
0,68,0.8269123
0,68.33334,0.8211653
0,68.66666,0.8154538
0,69,0.8097782
0,69.33334,0.8041385
0,69.66666,0.7985351
0,70,0.7929683
0,70.33334,0.787438
0,70.66666,0.7819446
0,71,0.7764882
0,71.33334,0.7710689
0,71.66666,0.7656869
0,72,0.7603422
0,72.33334,0.7550351
0,72.66666,0.7497655
0,73,0.7445335
0,73.33334,0.7393392
0,73.66666,0.7341828
0,74,0.729064
0,74.33334,0.7239831
0,74.66666,0.7189401
0,75,0.7139348
0,75.33334,0.7089673
0,75.66666,0.7040377
0,76,0.6991459
0,76.33334,0.6942917
0,76.66666,0.6894753
0,77,0.6846966
0,77.33334,0.6799554
0,77.66666,0.6752517
0,78,0.6705855
0,78.33334,0.6659566
0,78.66666,0.6613649
0,79,0.6568104
0,79.33334,0.652293
0,79.66666,0.6478125
0,80,0.6433688
0,80.33334,0.6389619
0,80.66666,0.6345914
0,81,0.6302574
0,81.33334,0.6259597
0,81.66666,0.6216981
0,82,0.6174725
0,82.33334,0.6132827
0,82.66666,0.6091286
0,83,0.60501
0,83.33334,0.6009267
0,83.66666,0.5968786
0,84,0.5928655
0,84.33334,0.5888872
0,84.66666,0.5849434
0,85,0.5810341
0,85.33334,0.5771591
0,85.66666,0.5733181
0,86,0.5695109
0,86.33334,0.5657375
0,86.66666,0.5619975
0,87,0.5582907
0,87.33334,0.5546169
