"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,3.267936E-10
0,0.6666667,8.544767E-08
0,1,1.353843E-06
0,1.333333,7.676726E-06
0,1.666667,2.620259E-05
0,2,6.663923E-05
0,2.333333,0.0001403084
0,2.666667,0.0002593543
0,3,0.000436171
0,3.333333,0.0006830059
0,3.666667,0.001011703
0,4,0.001433541
0,4.333333,0.001959138
0,4.666667,0.002598405
0,5,0.003360524
0,5.333333,0.004253948
0,5.666667,0.005286419
0,6,0.006464985
0,6.333333,0.007796027
0,6.666667,0.009285287
0,7,0.0109379
0,7.333333,0.01275842
0,7.666667,0.01475081
0,8,0.01691857
0,8.333333,0.01926473
0,8.666667,0.02179184
0,9,0.02450194
0,9.333333,0.02739676
0,9.666667,0.03047759
0,10,0.03374542
0,10.33333,0.03720082
0,10.66667,0.04084401
0,11,0.04467495
0,11.33333,0.04869327
0,11.66667,0.05289839
0,12,0.05728946
0,12.33333,0.06186541
0,12.66667,0.06662494
0,13,0.07156657
0,13.33333,0.07668862
0,13.66667,0.08198923
0,14,0.0874664
0,14.33333,0.09311794
0,14.66667,0.09894158
0,15,0.1049349
0,15.33333,0.1110954
0,15.66667,0.1174203
0,16,0.123907
0,16.33333,0.1305527
0,16.66667,0.1373545
0,17,0.1443093
0,17.33333,0.1514143
0,17.66667,0.1586662
0,18,0.1660621
0,18.33333,0.1735987
0,18.66667,0.1812729
0,19,0.1890814
0,19.33333,0.1970211
0,19.66667,0.2050886
0,20,0.2132807
0,20.33333,0.2215941
0,20.66667,0.2300256
0,21,0.238572
0,21.33333,0.2472299
0,21.66667,0.255996
0,22,0.2648673
0,22.33333,0.2738403
0,22.66667,0.2829121
0,23,0.2920792
0,23.33333,0.3013387
0,23.66667,0.3106874
0,24,0.3201221
0,24.33333,0.3296399
0,24.66667,0.3392376
0,25,0.3489123
0,25.33333,0.3586609
0,25.66667,0.3684807
0,26,0.3783687
0,26.33333,0.3883219
0,26.66667,0.3983377
0,27,0.4084133
0,27.33333,0.4185458
0,27.66667,0.4287327
0,28,0.4389713
0,28.33333,0.4492589
0,28.66667,0.4595931
0,29,0.4699713
0,29.33333,0.4803911
0,29.66667,0.49085
0,30,0.5013458
0,30.33333,0.5118759
0,30.66667,0.5224383
0,31,0.5330306
0,31.33333,0.5436506
0,31.66667,0.5542962
0,32,0.5649654
0,32.33333,0.5756559
0,32.66667,0.586366
0,33,0.5970935
0,33.33333,0.6078367
0,33.66667,0.6185935
0,34,0.6293621
0,34.33333,0.6401408
0,34.66667,0.6509278
0,35,0.6617215
0,35.33333,0.6725202
0,35.66667,0.6833221
0,36,0.6941259
0,36.33333,0.7049299
0,36.66667,0.7157326
0,37,0.7265326
0,37.33333,0.7373284
0,37.66667,0.7481188
0,38,0.7589022
0,38.33333,0.7696775
0,38.66667,0.7804434
0,39,0.7911986
0,39.33333,0.8019419
0,39.66667,0.8126723
0,40,0.8233885
0,40.33333,0.8340894
0,40.66667,0.844774
0,41,0.8554413
0,41.33333,0.8660904
0,41.66667,0.8767201
0,42,0.8873296
0,42.33333,0.897918
0,42.66667,0.9084844
0,43,0.919028
0,43.33333,0.929548
0,43.66667,0.9400436
0,44,0.9505139
0,44.33333,0.9609584
0,44.66667,0.9713762
0,45,0.9817668
0,45.33333,0.9921294
0,45.66667,1.002463
0,46,1.012768
0,46.33333,1.023044
0,46.66667,1.033288
0,47,1.043502
0,47.33333,1.053685
0,47.66667,1.063836
0,48,1.073954
0,48.33333,1.08404
0,48.66667,1.094092
0,49,1.104111
0,49.33333,1.114096
0,49.66667,1.124046
0,50,1.133962
0,50.33333,1.143843
0,50.66667,1.153688
0,51,1.163498
0,51.33333,1.173272
0,51.66667,1.183009
0,52,1.19271
0,52.33333,1.202375
0,52.66667,1.212002
0,53,1.221592
0,53.33333,1.231145
0,53.66667,1.24066
0,54,1.250138
0,54.33333,1.259578
0,54.66667,1.26898
0,55,1.278344
0,55.33333,1.287669
0,55.66667,1.296956
0,56,1.306205
0,56.33333,1.315416
0,56.66667,1.324587
0,57,1.33372
0,57.33333,1.342815
0,57.66667,1.35187
0,58,1.360887
0,58.33333,1.369865
0,58.66667,1.378804
0,59,1.387704
0,59.33333,1.396566
0,59.66667,1.405389
0,60,1.414173
0,60.33333,1.422917
0,60.66667,1.431624
0,61,1.440291
0,61.33333,1.44892
0,61.66667,1.457511
0,62,1.466063
0,62.33333,1.474576
0,62.66667,1.48305
0,63,1.491487
0,63.33333,1.499885
0,63.66667,1.508245
0,64,1.516567
0,64.33334,1.52485
0,64.66666,1.533096
0,65,1.541304
0,65.33334,1.549474
0,65.66666,1.557607
0,66,1.565702
0,66.33334,1.57376
0,66.66666,1.581781
0,67,1.589765
0,67.33334,1.597711
0,67.66666,1.605621
0,68,1.613495
0,68.33334,1.621331
0,68.66666,1.629132
0,69,1.636896
0,69.33334,1.644624
0,69.66666,1.652316
0,70,1.659972
0,70.33334,1.667593
0,70.66666,1.675178
0,71,1.682728
0,71.33334,1.690243
0,71.66666,1.697723
0,72,1.705168
0,72.33334,1.712578
0,72.66666,1.719954
0,73,1.727296
0,73.33334,1.734603
0,73.66666,1.741877
0,74,1.749116
0,74.33334,1.756323
0,74.66666,1.763495
0,75,1.770635
0,75.33334,1.777741
0,75.66666,1.784814
0,76,1.791855
0,76.33334,1.798863
0,76.66666,1.805839
