"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,8.160901E-12
0,0.6666667,2.752478E-09
0,1,6.220482E-08
0,1.333333,4.90062E-07
0,1.666667,2.224272E-06
0,2,7.221604E-06
0,2.333333,1.875514E-05
0,2.666667,4.158096E-05
0,3,8.198115E-05
0,3.333333,0.000147715
0,3.666667,0.0002479197
0,4,0.0003929807
0,4.333333,0.0005943847
0,4.666667,0.0008645686
0,5,0.001216777
0,5.333333,0.001664924
0,5.666667,0.002223456
0,6,0.002907218
0,6.333333,0.003731328
0,6.666667,0.004711054
0,7,0.005861702
0,7.333333,0.007198505
0,7.666667,0.008736519
0,8,0.01049053
0,8.333333,0.01247496
0,8.666667,0.0147038
0,9,0.01719048
0,9.333333,0.01994792
0,9.666667,0.02298835
0,10,0.02632337
0,10.33333,0.02996385
0,10.66667,0.03391998
0,11,0.03820115
0,11.33333,0.04281605
0,11.66667,0.04777259
0,12,0.05307793
0,12.33333,0.05873846
0,12.66667,0.0647599
0,13,0.07114714
0,13.33333,0.07790455
0,13.66667,0.08503564
0,14,0.0925433
0,14.33333,0.1004299
0,14.66667,0.1086972
0,15,0.117346
0,15.33333,0.1263771
0,15.66667,0.1357904
0,16,0.1455854
0,16.33333,0.1557613
0,16.66667,0.1663167
0,17,0.1772496
0,17.33333,0.1885581
0,17.66667,0.2002395
0,18,0.2122909
0,18.33333,0.2247092
0,18.66667,0.2374908
0,19,0.2506318
0,19.33333,0.2641284
0,19.66667,0.2779761
0,20,0.2921704
0,20.33333,0.3067066
0,20.66667,0.3215798
0,21,0.3367848
0,21.33333,0.3523165
0,21.66667,0.3681695
0,22,0.3843382
0,22.33333,0.400817
0,22.66667,0.4176003
0,23,0.4346822
0,23.33333,0.4520568
0,23.66667,0.4697181
0,24,0.4876602
0,24.33333,0.505877
0,24.66667,0.5243624
0,25,0.5431103
0,25.33333,0.5621145
0,25.66667,0.581369
0,26,0.6008675
0,26.33333,0.6206038
0,26.66667,0.6405719
0,27,0.6607655
0,27.33333,0.6811786
0,27.66667,0.7018051
0,28,0.7226388
0,28.33333,0.7436739
0,28.66667,0.7649041
0,29,0.7863237
0,29.33333,0.8079266
0,29.66667,0.829707
0,30,0.8516592
0,30.33333,0.8737773
0,30.66667,0.8960556
0,31,0.9184886
0,31.33333,0.9410707
0,31.66667,0.9637963
0,32,0.9866601
0,32.33333,1.009657
0,32.66667,1.03278
0,33,1.056026
0,33.33333,1.07939
0,33.66667,1.102865
0,34,1.126447
0,34.33333,1.150131
0,34.66667,1.173912
0,35,1.197785
0,35.33333,1.221746
0,35.66667,1.245791
0,36,1.269913
0,36.33333,1.29411
0,36.66667,1.318376
0,37,1.342708
0,37.33333,1.367101
0,37.66667,1.391551
0,38,1.416053
0,38.33333,1.440605
0,38.66667,1.465201
0,39,1.489838
0,39.33333,1.514513
0,39.66667,1.539222
0,40,1.56396
0,40.33333,1.588725
0,40.66667,1.613513
0,41,1.63832
0,41.33333,1.663144
0,41.66667,1.687981
0,42,1.712829
0,42.33333,1.737683
0,42.66667,1.76254
0,43,1.787399
0,43.33333,1.812256
0,43.66667,1.837108
0,44,1.861953
0,44.33333,1.886787
0,44.66667,1.911608
0,45,1.936414
0,45.33333,1.961202
0,45.66667,1.98597
0,46,2.010715
0,46.33333,2.035435
0,46.66667,2.060128
0,47,2.084792
0,47.33333,2.109424
0,47.66667,2.134023
0,48,2.158587
0,48.33333,2.183112
0,48.66667,2.207599
0,49,2.232044
0,49.33333,2.256446
0,49.66667,2.280804
0,50,2.305115
0,50.33333,2.329378
0,50.66667,2.353591
0,51,2.377754
0,51.33333,2.401864
0,51.66667,2.42592
0,52,2.44992
0,52.33333,2.473865
0,52.66667,2.497751
0,53,2.521578
0,53.33333,2.545344
0,53.66667,2.569049
0,54,2.592691
0,54.33333,2.61627
0,54.66667,2.639784
0,55,2.663232
0,55.33333,2.686614
0,55.66667,2.709928
0,56,2.733173
0,56.33333,2.756349
0,56.66667,2.779455
0,57,2.80249
0,57.33333,2.825454
0,57.66667,2.848345
0,58,2.871162
0,58.33333,2.893906
0,58.66667,2.916575
0,59,2.939169
0,59.33333,2.961688
0,59.66667,2.98413
0,60,3.006496
0,60.33333,3.028785
0,60.66667,3.050996
0,61,3.07313
0,61.33333,3.095185
0,61.66667,3.117161
0,62,3.139058
0,62.33333,3.160876
0,62.66667,3.182614
0,63,3.204272
0,63.33333,3.225849
0,63.66667,3.247346
0,64,3.268762
0,64.33334,3.290097
0,64.66666,3.311352
0,65,3.332524
0,65.33334,3.353616
0,65.66666,3.374625
0,66,3.395554
0,66.33334,3.4164
0,66.66666,3.437165
0,67,3.457848
0,67.33334,3.478448
0,67.66666,3.498967
0,68,3.519404
0,68.33334,3.539759
0,68.66666,3.560032
0,69,3.580223
0,69.33334,3.600333
0,69.66666,3.62036
0,70,3.640306
0,70.33334,3.66017
0,70.66666,3.679952
0,71,3.699654
0,71.33334,3.719273
0,71.66666,3.738812
0,72,3.758269
0,72.33334,3.777646
0,72.66666,3.796941
0,73,3.816157
0,73.33334,3.835291
0,73.66666,3.854346
0,74,3.873321
0,74.33334,3.892215
0,74.66666,3.911031
0,75,3.929766
0,75.33334,3.948423
0,75.66666,3.967
0,76,3.985499
0,76.33334,4.00392
0,76.66666,4.022263
0,77,4.040527
0,77.33334,4.058714
0,77.66666,4.076823
0,78,4.094856
0,78.33334,4.112812
0,78.66666,4.130691
0,79,4.148494
0,79.33334,4.166221
0,79.66666,4.183872
0,80,4.201448
0,80.33334,4.218949
0,80.66666,4.236376
0,81,4.253727
0,81.33334,4.271006
0,81.66666,4.28821
0,82,4.305341
0,82.33334,4.322399
0,82.66666,4.339384
0,83,4.356296
0,83.33334,4.373137
0,83.66666,4.389905
0,84,4.406603
0,84.33334,4.423229
0,84.66666,4.439785
0,85,4.45627
0,85.33334,4.472685
0,85.66666,4.489031
0,86,4.505307
0,86.33334,4.521515
0,86.66666,4.537653
0,87,4.553724
0,87.33334,4.569727
0,87.66666,4.585662
0,88,4.601531
0,88.33334,4.617332
0,88.66666,4.633066
0,89,4.648735
0,89.33334,4.664338
0,89.66666,4.679876
0,90,4.695349
0,90.33334,4.710757
0,90.66666,4.7261
0,91,4.741381
0,91.33334,4.756597
0,91.66666,4.77175
0,92,4.78684
0,92.33334,4.801868
0,92.66666,4.816834
0,93,4.831738
0,93.33334,4.846581
0,93.66666,4.861362
0,94,4.876084
0,94.33334,4.890745
0,94.66666,4.905345
0,95,4.919887
0,95.33334,4.934369
0,95.66666,4.948792
0,96,4.963157
0,96.33334,4.977463
0,96.66666,4.991712
0,97,5.005903
