"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,2.667093E-11
0,0.6666667,7.600737E-09
0,1,1.468249E-07
0,1.333333,1.002896E-06
0,1.666667,3.989942E-06
0,2,1.149201E-05
0,2.333333,2.679212E-05
0,2.666667,5.389687E-05
0,3,9.733874E-05
0,3.333333,0.0001619885
0,3.666667,0.0002528981
0,4,0.0003751798
0,4.333333,0.0005339046
0,4.666667,0.0007340214
0,5,0.0009802995
0,5.333333,0.001277285
0,5.666667,0.001629267
0,6,0.002040254
0,6.333333,0.002513953
0,6.666667,0.003053753
0,7,0.00366274
0,7.333333,0.004343676
0,7.666667,0.005099022
0,8,0.005930943
0,8.333333,0.006841308
0,8.666667,0.007831704
0,9,0.008903452
0,9.333333,0.01005761
0,9.666667,0.011295
0,10,0.01261622
0,10.33333,0.01402165
0,10.66667,0.01551146
0,11,0.01708564
0,11.33333,0.01874403
0,11.66667,0.02048628
0,12,0.0223119
0,12.33333,0.02422027
0,12.66667,0.02621063
0,13,0.02828213
0,13.33333,0.0304338
0,13.66667,0.03266456
0,14,0.03497328
0,14.33333,0.03735872
0,14.66667,0.03981957
0,15,0.04235448
0,15.33333,0.04496203
0,15.66667,0.04764075
0,16,0.05038912
0,16.33333,0.0532056
0,16.66667,0.05608859
0,17,0.05903648
0,17.33333,0.06204765
0,17.66667,0.06512042
0,18,0.06825314
0,18.33333,0.0714441
0,18.66667,0.07469163
0,19,0.07799403
0,19.33333,0.08134959
0,19.66667,0.08475661
0,20,0.0882134
0,20.33333,0.09171826
0,20.66667,0.09526952
0,21,0.09886549
0,21.33333,0.1025045
0,21.66667,0.1061849
0,22,0.1099051
0,22.33333,0.1136634
0,22.66667,0.1174582
0,23,0.121288
0,23.33333,0.1251512
0,23.66667,0.1290461
0,24,0.1329714
0,24.33333,0.1369255
0,24.66667,0.1409068
0,25,0.144914
0,25.33333,0.1489456
0,25.66667,0.1530002
0,26,0.1570764
0,26.33333,0.1611728
0,26.66667,0.1652881
0,27,0.1694209
0,27.33333,0.17357
0,27.66667,0.1777342
0,28,0.1819121
0,28.33333,0.1861025
0,28.66667,0.1903043
0,29,0.1945163
