"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,1.721384E-09
0,0.6666667,3.015521E-07
0,1,4.352528E-06
0,1.333333,2.476893E-05
0,1.666667,8.763518E-05
0,2,0.0002331969
0,2.333333,0.000513867
0,2.666667,0.0009908353
0,3,0.001730163
0,3.333333,0.002799033
0,3.666667,0.004262479
0,4,0.006180753
0,4.333333,0.008607371
0,4.666667,0.01158783
0,5,0.01515886
0,5.333333,0.01934824
0,5.666667,0.02417489
0,6,0.02964935
0,6.333333,0.03577439
0,6.666667,0.04254581
0,7,0.04995329
0,7.333333,0.05798126
0,7.666667,0.06660976
0,8,0.07581527
0,8.333333,0.08557153
0,8.666667,0.09585019
0,9,0.1066215
0,9.333333,0.1178547
0,9.666667,0.1295189
0,10,0.1415831
0,10.33333,0.1540166
0,10.66667,0.1667893
0,11,0.1798721
0,11.33333,0.1932368
0,11.66667,0.2068566
0,12,0.2207057
0,12.33333,0.2347598
0,12.66667,0.2489959
0,13,0.2633924
0,13.33333,0.2779289
0,13.66667,0.2925864
0,14,0.3073472
0,14.33333,0.322195
0,14.66667,0.3371143
0,15,0.3520912
0,15.33333,0.3671125
0,15.66667,0.3821664
0,16,0.3972416
0,16.33333,0.4123281
0,16.66667,0.4274164
0,17,0.442498
0,17.33333,0.4575651
0,17.66667,0.4726105
0,18,0.4876277
0,18.33333,0.5026106
0,18.66667,0.5175539
0,19,0.5324527
0,19.33333,0.5473024
0,19.66667,0.562099
0,20,0.5768388
0,20.33333,0.5915184
0,20.66667,0.606135
0,21,0.6206856
0,21.33333,0.635168
0,21.66667,0.6495799
0,22,0.6639195
0,22.33333,0.678185
0,22.66667,0.6923748
0,23,0.7064875
0,23.33333,0.7205221
0,23.66667,0.7344774
0,24,0.7483525
0,24.33333,0.7621467
0,24.66667,0.7758593
0,25,0.7894897
0,25.33333,0.8030375
0,25.66667,0.8165023
0,26,0.8298839
0,26.33333,0.843182
0,26.66667,0.8563965
0,27,0.8695273
0,27.33333,0.8825744
0,27.66667,0.8955379
0,28,0.9084178
0,28.33333,0.9212142
0,28.66667,0.9339274
0,29,0.9465574
0,29.33333,0.9591047
0,29.66667,0.9715694
0,30,0.9839519
0,30.33333,0.9962524
0,30.66667,1.008471
0,31,1.020609
0,31.33333,1.032666
0,31.66667,1.044643
0,32,1.05654
0,32.33333,1.068358
0,32.66667,1.080097
0,33,1.091757
0,33.33333,1.103339
0,33.66667,1.114844
0,34,1.126272
0,34.33333,1.137623
0,34.66667,1.148899
0,35,1.160099
0,35.33333,1.171224
0,35.66667,1.182276
0,36,1.193253
0,36.33333,1.204157
0,36.66667,1.214989
0,37,1.225748
0,37.33333,1.236436
0,37.66667,1.247053
0,38,1.257599
0,38.33333,1.268076
0,38.66667,1.278484
0,39,1.288822
0,39.33333,1.299093
0,39.66667,1.309295
0,40,1.319431
0,40.33333,1.3295
0,40.66667,1.339503
0,41,1.349441
0,41.33333,1.359314
0,41.66667,1.369122
0,42,1.378867
0,42.33333,1.388548
0,42.66667,1.398167
0,43,1.407723
0,43.33333,1.417218
0,43.66667,1.426651
0,44,1.436024
0,44.33333,1.445337
0,44.66667,1.45459
0,45,1.463784
0,45.33333,1.472919
0,45.66667,1.481996
0,46,1.491015
0,46.33333,1.499978
0,46.66667,1.508883
0,47,1.517733
0,47.33333,1.526526
0,47.66667,1.535265
0,48,1.543949
0,48.33333,1.552578
0,48.66667,1.561154
0,49,1.569676
0,49.33333,1.578145
0,49.66667,1.586562
0,50,1.594927
0,50.33333,1.60324
0,50.66667,1.611502
0,51,1.619713
0,51.33333,1.627874
0,51.66667,1.635985
0,52,1.644047
0,52.33333,1.65206
0,52.66667,1.660024
0,53,1.667939
0,53.33333,1.675807
0,53.66667,1.683628
0,54,1.691401
0,54.33333,1.699128
0,54.66667,1.706809
0,55,1.714443
0,55.33333,1.722033
0,55.66667,1.729577
0,56,1.737076
0,56.33333,1.744531
0,56.66667,1.751942
0,57,1.759309
0,57.33333,1.766633
0,57.66667,1.773914
0,58,1.781152
0,58.33333,1.788348
0,58.66667,1.795502
0,59,1.802615
0,59.33333,1.809686
0,59.66667,1.816717
0,60,1.823707
0,60.33333,1.830656
0,60.66667,1.837566
0,61,1.844436
0,61.33333,1.851267
0,61.66667,1.858058
0,62,1.864811
0,62.33333,1.871526
0,62.66667,1.878202
0,63,1.884841
0,63.33333,1.891442
0,63.66667,1.898006
0,64,1.904534
0,64.33334,1.911024
0,64.66666,1.917478
0,65,1.923896
0,65.33334,1.930279
0,65.66666,1.936625
0,66,1.942937
0,66.33334,1.949214
0,66.66666,1.955456
0,67,1.961663
0,67.33334,1.967836
0,67.66666,1.973976
0,68,1.980082
0,68.33334,1.986154
0,68.66666,1.992193
0,69,1.998199
0,69.33334,2.004173
0,69.66666,2.010114
0,70,2.016023
0,70.33334,2.0219
0,70.66666,2.027746
0,71,2.03356
0,71.33334,2.039343
0,71.66666,2.045094
0,72,2.050815
0,72.33334,2.056506
0,72.66666,2.062166
0,73,2.067796
0,73.33334,2.073396
0,73.66666,2.078967
0,74,2.084508
0,74.33334,2.09002
0,74.66666,2.095502
0,75,2.100956
0,75.33334,2.106382
0,75.66666,2.111779
0,76,2.117148
0,76.33334,2.122488
0,76.66666,2.127802
0,77,2.133087
0,77.33334,2.138345
