"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,1.230129E-09
0,0.6666667,2.338958E-07
0,1,3.586683E-06
0,1.333333,2.142931E-05
0,1.666667,7.896603E-05
0,2,0.0002164523
0,2.333333,0.0004839742
0,2.666667,0.0009329394
0,3,0.001609505
0,3.333333,0.00255126
0,3.666667,0.003786362
0,4,0.005334174
0,4.333333,0.007206528
0,4.666667,0.009409135
0,5,0.01194284
0,5.333333,0.01480471
0,5.666667,0.01798898
0,6,0.02148777
0,6.333333,0.0252916
0,6.666667,0.0293899
0,7,0.03377132
0,7.333333,0.03842402
0,7.666667,0.04333587
0,8,0.04849461
0,8.333333,0.05388798
0,8.666667,0.0595038
0,9,0.06533008
0,9.333333,0.07135502
0,9.666667,0.07756709
0,10,0.08395507
0,10.33333,0.09050802
0,10.66667,0.09721535
0,11,0.1040668
0,11.33333,0.1110525
0,11.66667,0.1181628
0,12,0.1253887
0,12.33333,0.1327212
0,12.66667,0.1401518
0,13,0.1476724
0,13.33333,0.1552749
0,13.66667,0.1629518
0,14,0.1706959
0,14.33333,0.1785001
0,14.66667,0.1863579
0,15,0.1942628
0,15.33333,0.2022087
0,15.66667,0.21019
0,16,0.2182008
0,16.33333,0.2262361
0,16.66667,0.2342905
0,17,0.2423595
0,17.33333,0.2504383
0,17.66667,0.2585223
0,18,0.2666078
0,18.33333,0.2746902
0,18.66667,0.2827661
0,19,0.2908317
0,19.33333,0.2988836
0,19.66667,0.3069185
0,20,0.3149332
0,20.33333,0.3229249
0,20.66667,0.3308905
0,21,0.3388276
0,21.33333,0.3467335
0,21.66667,0.3546059
0,22,0.3624425
0,22.33333,0.370241
0,22.66667,0.3779996
0,23,0.3857161
0,23.33333,0.3933889
0,23.66667,0.4010162
0,24,0.4085963
0,24.33333,0.4161279
0,24.66667,0.4236093
0,25,0.4310393
0,25.33333,0.4384167
0,25.66667,0.4457404
0,26,0.453009
0,26.33333,0.4602217
0,26.66667,0.4673775
0,27,0.4744752
0,27.33333,0.4815145
0,27.66667,0.4884942
0,28,0.4954135
0,28.33333,0.5022721
0,28.66667,0.5090693
0,29,0.5158042
0,29.33333,0.5224769
0,29.66667,0.5290865
0,30,0.5356328
0,30.33333,0.5421154
0,30.66667,0.548534
0,31,0.5548882
0,31.33333,0.561178
0,31.66667,0.5674029
0,32,0.573563
0,32.33333,0.579658
0,32.66667,0.5856878
0,33,0.5916526
0,33.33333,0.5975519
0,33.66667,0.6033861
0,34,0.6091553
0,34.33333,0.6148592
0,34.66667,0.6204979
0,35,0.6260714
0,35.33333,0.6315799
0,35.66667,0.6370236
0,36,0.6424024
0,36.33333,0.6477168
0,36.66667,0.6529668
0,37,0.6581526
0,37.33333,0.6632746
0,37.66667,0.6683328
0,38,0.6733277
0,38.33333,0.6782594
0,38.66667,0.6831281
0,39,0.6879343
0,39.33333,0.6926782
0,39.66667,0.69736
0,40,0.7019802
0,40.33333,0.7065392
0,40.66667,0.711037
0,41,0.7154743
0,41.33333,0.7198513
0,41.66667,0.7241684
0,42,0.728426
0,42.33333,0.7326244
0,42.66667,0.736764
0,43,0.7408453
0,43.33333,0.7448686
0,43.66667,0.7488344
0,44,0.7527429
0,44.33333,0.7565948
0,44.66667,0.7603905
0,45,0.7641301
0,45.33333,0.7678143
0,45.66667,0.7714436
0,46,0.7750182
0,46.33333,0.7785386
0,46.66667,0.7820054
0,47,0.7854189
0,47.33333,0.7887795
0,47.66667,0.7920877
0,48,0.7953441
0,48.33333,0.7985489
0,48.66667,0.8017026
0,49,0.8048058
0,49.33333,0.8078588
0,49.66667,0.8108621
0,50,0.8138161
0,50.33333,0.8167213
0,50.66667,0.8195782
0,51,0.8223872
0,51.33333,0.8251486
0,51.66667,0.8278632
0,52,0.8305311
0,52.33333,0.8331528
0,52.66667,0.8357289
0,53,0.8382599
0,53.33333,0.8407459
0,53.66667,0.8431877
0,54,0.8455855
0,54.33333,0.8479399
0,54.66667,0.8502512
0,55,0.8525199
0,55.33333,0.8547465
0,55.66667,0.8569313
0,56,0.8590747
0,56.33333,0.8611773
0,56.66667,0.8632395
0,57,0.8652616
0,57.33333,0.867244
0,57.66667,0.8691872
0,58,0.8710917
0,58.33333,0.8729578
0,58.66667,0.8747859
0,59,0.8765764
0,59.33333,0.8783298
0,59.66667,0.8800464
0,60,0.8817267
0,60.33333,0.883371
0,60.66667,0.8849797
0,61,0.8865533
0,61.33333,0.888092
0,61.66667,0.8895964
0,62,0.8910667
0,62.33333,0.8925034
0,62.66667,0.8939068
0,63,0.8952773
0,63.33333,0.8966153
0,63.66667,0.8979211
0,64,0.8991952
0,64.33334,0.9004378
0,64.66666,0.9016493
0,65,0.9028301
0,65.33334,0.9039806
0,65.66666,0.905101
0,66,0.9061917
0,66.33334,0.9072531
0,66.66666,0.9082856
0,67,0.9092894
0,67.33334,0.9102649
0,67.66666,0.9112124
0,68,0.9121322
0,68.33334,0.9130247
0,68.66666,0.9138902
0,69,0.9147291
0,69.33334,0.9155415
0,69.66666,0.9163279
0,70,0.9170886
0,70.33334,0.9178238
0,70.66666,0.9185339
0,71,0.9192191
0,71.33334,0.9198798
0,71.66666,0.9205163
0,72,0.9211288
0,72.33334,0.9217176
0,72.66666,0.9222832
0,73,0.9228256
0,73.33334,0.9233452
0,73.66666,0.9238423
0,74,0.9243172
0,74.33334,0.9247701
0,74.66666,0.9252012
0,75,0.925611
0,75.33334,0.9259995
0,75.66666,0.9263672
0,76,0.9267142
0,76.33334,0.9270408
0,76.66666,0.9273472
0,77,0.9276338
0,77.33334,0.9279007
0,77.66666,0.9281482
0,78,0.9283765
0,78.33334,0.9285859
0,78.66666,0.9287767
0,79,0.9289489
0,79.33334,0.929103
0,79.66666,0.9292392
0,80,0.9293576
0,80.33334,0.9294584
0,80.66666,0.9295419
0,81,0.9296085
0,81.33334,0.9296581
0,81.66666,0.9296911
0,82,0.9297077
0,82.33334,0.929708
0,82.66666,0.9296923
0,83,0.9296609
0,83.33334,0.9296139
0,83.66666,0.9295515
0,84,0.9294738
0,84.33334,0.9293811
0,84.66666,0.9292737
0,85,0.9291517
0,85.33334,0.9290153
0,85.66666,0.9288646
0,86,0.9286999
0,86.33334,0.9285213
0,86.66666,0.9283291
0,87,0.9281233
0,87.33334,0.9279042
0,87.66666,0.927672
0,88,0.9274268
0,88.33334,0.9271689
0,88.66666,0.9268983
0,89,0.9266152
0,89.33334,0.9263199
0,89.66666,0.9260125
0,90,0.9256931
0,90.33334,0.9253619
0,90.66666,0.925019
0,91,0.9246647
0,91.33334,0.924299
0,91.66666,0.9239222
0,92,0.9235344
0,92.33334,0.9231356
0,92.66666,0.9227262
0,93,0.9223061
0,93.33334,0.9218757
0,93.66666,0.9214349
0,94,0.920984
0,94.33334,0.920523
0,94.66666,0.9200522
0,95,0.9195717
0,95.33334,0.9190816
0,95.66666,0.918582
0,96,0.9180731
0,96.33334,0.9175549
0,96.66666,0.9170277
0,97,0.9164916
0,97.33334,0.9159466
0,97.66666,0.9153929
0,98,0.9148306
0,98.33334,0.9142599
0,98.66666,0.9136809
0,99,0.9130936
0,99.33334,0.9124982
0,99.66666,0.9118948
0,100,0.9112836
0,100.3333,0.9106646
0,100.6667,0.910038
0,101,0.9094038
0,101.3333,0.9087622
0,101.6667,0.9081132
0,102,0.9074571
0,102.3333,0.9067939
0,102.6667,0.9061236
0,103,0.9054464
0,103.3333,0.9047624
0,103.6667,0.9040718
0,104,0.9033746
0,104.3333,0.9026708
0,104.6667,0.9019606
0,105,0.9012441
0,105.3333,0.9005213
0,105.6667,0.8997926
0,106,0.8990577
0,106.3333,0.8983168
0,106.6667,0.8975701
0,107,0.8968177
0,107.3333,0.8960596
0,107.6667,0.8952959
0,108,0.8945267
