"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,6.130165E-11
0,0.6666667,2.152213E-08
0,1,4.976661E-07
0,1.333333,3.966413E-06
0,1.666667,1.80943E-05
0,2,5.881669E-05
0,2.333333,0.0001526132
0,2.666667,0.0003376334
0,3,0.0006638822
0,3.333333,0.00119279
0,3.666667,0.00199641
0,4,0.00315651
0,4.333333,0.004763641
0,4.666667,0.006916211
0,5,0.009719598
0,5.333333,0.01328532
0,5.666667,0.0177302
0,6,0.02317558
0,6.333333,0.02974644
0,6.666667,0.03757067
0,7,0.04677818
0,7.333333,0.05750018
0,7.666667,0.0698683
0,8,0.08401388
0,8.333333,0.1000672
0,8.666667,0.1181568
0,9,0.1384087
0,9.333333,0.1609461
0,9.666667,0.1858884
0,10,0.2133508
0,10.33333,0.2434445
0,10.66667,0.2762751
0,11,0.3119436
0,11.33333,0.3505452
0,11.66667,0.3921698
0,12,0.4369013
0,12.33333,0.484818
0,12.66667,0.535992
0,13,0.5904901
0,13.33333,0.6483725
0,13.66667,0.7096943
0,14,0.7745046
0,14.33333,0.8428475
0,14.66667,0.9147608
0,15,0.9902771
0,15.33333,1.069426
0,15.66667,1.152228
0,16,1.238702
0,16.33333,1.328863
0,16.66667,1.422718
0,17,1.520274
0,17.33333,1.621531
0,17.66667,1.726487
0,18,1.835136
0,18.33333,1.947469
0,18.66667,2.063473
0,19,2.183133
0,19.33333,2.30643
0,19.66667,2.433344
0,20,2.563851
0,20.33333,2.697925
0,20.66667,2.835538
0,21,2.97666
0,21.33333,3.121258
0,21.66667,3.269298
0,22,3.420746
0,22.33333,3.575562
0,22.66667,3.73371
0,23,3.895147
0,23.33333,4.059834
0,23.66667,4.227729
0,24,4.398787
0,24.33333,4.572964
0,24.66667,4.750214
0,25,4.930492
0,25.33333,5.113754
0,25.66667,5.299951
0,26,5.489032
0,26.33333,5.680952
0,26.66667,5.875663
0,27,6.073116
0,27.33333,6.273263
0,27.66667,6.476051
0,28,6.681433
0,28.33333,6.889359
0,28.66667,7.099779
0,29,7.312644
0,29.33333,7.527903
0,29.66667,7.745505
0,30,7.965403
0,30.33333,8.187545
0,30.66667,8.411883
0,31,8.638366
0,31.33333,8.866945
0,31.66667,9.097571
0,32,9.330196
0,32.33333,9.564772
0,32.66667,9.801249
0,33,10.03958
0,33.33333,10.27972
0,33.66667,10.52161
0,34,10.76522
0,34.33333,11.01049
0,34.66667,11.25739
0,35,11.50586
0,35.33333,11.75585
0,35.66667,12.00734
0,36,12.26026
0,36.33333,12.51458
0,36.66667,12.77025
0,37,13.02723
0,37.33333,13.28549
0,37.66667,13.54496
0,38,13.80562
0,38.33333,14.06743
0,38.66667,14.33034
0,39,14.59431
0,39.33333,14.85931
0,39.66667,15.12529
0,40,15.39222
0,40.33333,15.66006
0,40.66667,15.92877
0,41,16.19832
0,41.33333,16.46866
0,41.66667,16.73977
0,42,17.01161
0,42.33333,17.28413
0,42.66667,17.55732
0,43,17.83113
0,43.33333,18.10554
0,43.66667,18.38051
0,44,18.656
0,44.33333,18.93199
0,44.66667,19.20844
0,45,19.48533
0,45.33333,19.76263
0,45.66667,20.04029
0,46,20.31831
0,46.33333,20.59664
0,46.66667,20.87527
0,47,21.15415
0,47.33333,21.43327
0,47.66667,21.71259
0,48,21.9921
0,48.33333,22.27177
0,48.66667,22.55157
0,49,22.83147
0,49.33333,23.11145
0,49.66667,23.3915
0,50,23.67158
0,50.33333,23.95167
0,50.66667,24.23174
0,51,24.51179
0,51.33333,24.79179
0,51.66667,25.0717
0,52,25.35153
0,52.33333,25.63123
0,52.66667,25.9108
0,53,26.19022
0,53.33333,26.46946
0,53.66667,26.74851
0,54,27.02734
0,54.33333,27.30595
0,54.66667,27.58431
0,55,27.86241
0,55.33333,28.14022
0,55.66667,28.41774
0,56,28.69495
0,56.33333,28.97182
0,56.66667,29.24835
0,57,29.52452
0,57.33333,29.80032
0,57.66667,30.07573
0,58,30.35074
0,58.33333,30.62532
0,58.66667,30.89948
0,59,31.1732
0,59.33333,31.44646
0,59.66667,31.71925
0,60,31.99156
0,60.33333,32.26337
0,60.66667,32.53469
0,61,32.80549
0,61.33333,33.07576
0,61.66667,33.34549
0,62,33.61467
0,62.33333,33.88326
0,62.66667,34.15125
0,63,34.4186
0,63.33333,34.68529
0,63.66667,34.95127
0,64,35.21649
0,64.33334,35.48092
0,64.66666,35.74451
0,65,36.00719
0,65.33334,36.26892
0,65.66666,36.52965
0,66,36.78931
0,66.33334,37.04786
0,66.66666,37.30522
0,67,37.56136
0,67.33334,37.8162
0,67.66666,38.06969
0,68,38.32178
0,68.33334,38.57241
0,68.66666,38.82152
0,69,39.06905
0,69.33334,39.31494
0,69.66666,39.55915
0,70,39.80161
0,70.33334,40.04227
0,70.66666,40.28107
0,71,40.51796
0,71.33334,40.7529
0,71.66666,40.98582
0,72,41.21668
0,72.33334,41.44543
0,72.66666,41.67201
0,73,41.89639
0,73.33334,42.1185
0,73.66666,42.33831
0,74,42.55578
0,74.33334,42.77084
0,74.66666,42.98347
0,75,43.19362
0,75.33334,43.40124
0,75.66666,43.60629
0,76,43.80873
0,76.33334,44.00852
0,76.66666,44.20563
0,77,44.40001
0,77.33334,44.59162
0,77.66666,44.78043
0,78,44.9664
0,78.33334,45.1495
0,78.66666,45.32969
0,79,45.50694
0,79.33334,45.68121
0,79.66666,45.85248
0,80,46.02071
0,80.33334,46.18586
0,80.66666,46.34792
0,81,46.50685
0,81.33334,46.66262
0,81.66666,46.8152
0,82,46.96457
0,82.33334,47.11071
0,82.66666,47.25358
0,83,47.39316
0,83.33334,47.52943
0,83.66666,47.66236
0,84,47.79193
0,84.33334,47.91812
0,84.66666,48.04091
0,85,48.16027
0,85.33334,48.2762
0,85.66666,48.38865
0,86,48.49763
0,86.33334,48.6031
0,86.66666,48.70506
0,87,48.80348
0,87.33334,48.89835
0,87.66666,48.98966
0,88,49.07738
0,88.33334,49.1615
0,88.66666,49.24202
0,89,49.31891
0,89.33334,49.39216
0,89.66666,49.46177
0,90,49.52771
0,90.33334,49.58997
0,90.66666,49.64856
0,91,49.70345
0,91.33334,49.75465
0,91.66666,49.80213
0,92,49.84591
0,92.33334,49.88598
0,92.66666,49.92236
0,93,49.95507
0,93.33334,49.98413
0,93.66666,50.00957
0,94,50.03144
0,94.33334,50.04976
0,94.66666,50.06458
0,95,50.07594
0,95.33334,50.0839
0,95.66666,50.08852
0,96,50.08983
0,96.33334,50.0879
0,96.66666,50.08278
0,97,50.07453
0,97.33334,50.06319
0,97.66666,50.04884
0,98,50.03152
0,98.33334,50.01128
0,98.66666,49.9882
0,99,49.96231
0,99.33334,49.93369
0,99.66666,49.90237
0,100,49.86842
0,100.3333,49.83188
0,100.6667,49.79282
0,101,49.75129
0,101.3333,49.70732
0,101.6667,49.66099
0,102,49.61234
0,102.3333,49.56141
0,102.6667,49.50826
0,103,49.45294
0,103.3333,49.3955
0,103.6667,49.33597
0,104,49.27441
0,104.3333,49.21087
0,104.6667,49.14539
0,105,49.078
0,105.3333,49.00877
0,105.6667,48.93773
0,106,48.86492
0,106.3333,48.79039
0,106.6667,48.71418
0,107,48.63632
0,107.3333,48.55685
0,107.6667,48.47583
0,108,48.39328
0,108.3333,48.30925
0,108.6667,48.22377
0,109,48.13687
0,109.3333,48.0486
0,109.6667,47.95899
0,110,47.86808
0,110.3333,47.77589
0,110.6667,47.68246
0,111,47.58784
