"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,2.471036E-11
0,0.6666667,3.435673E-09
0,1,4.276259E-08
0,1.333333,2.209112E-07
0,1.666667,7.314027E-07
0,2,1.85609E-06
0,2.333333,3.950313E-06
0,2.666667,7.422861E-06
0,3,1.271471E-05
0,3.333333,2.02793E-05
0,3.666667,3.056564E-05
0,4,4.400462E-05
0,4.333333,6.099862E-05
0,4.666667,8.191411E-05
0,5,0.0001070768
0,5.333333,0.0001367691
0,5.666667,0.000171229
0,6,0.0002106507
0,6.333333,0.0002551862
0,6.666667,0.0003049472
0,7,0.0003600081
0,7.333333,0.0004204088
0,7.666667,0.0004861583
0,8,0.0005572372
0,8.333333,0.0006336017
0,8.666667,0.0007151862
0,9,0.000801906
0,9.333333,0.0008936608
0,9.666667,0.0009903366
0,10,0.001091808
0,10.33333,0.001197942
0,10.66667,0.001308595
0,11,0.001423621
0,11.33333,0.001542869
0,11.66667,0.001666185
0,12,0.001793416
0,12.33333,0.001924406
0,12.66667,0.002058999
0,13,0.002197044
0,13.33333,0.002338384
0,13.66667,0.002482874
0,14,0.002630363
0,14.33333,0.00278071
0,14.66667,0.002933773
0,15,0.003089417
0,15.33333,0.003247511
0,15.66667,0.003407926
0,16,0.003570538
0,16.33333,0.003735227
0,16.66667,0.003901878
0,17,0.004070378
0,17.33333,0.004240621
0,17.66667,0.004412503
0,18,0.004585924
0,18.33333,0.004760789
0,18.66667,0.004937007
0,19,0.005114488
0,19.33333,0.00529315
0,19.66667,0.005472912
0,20,0.005653696
0,20.33333,0.005835427
0,20.66667,0.006018037
0,21,0.006201456
0,21.33333,0.006385621
0,21.66667,0.006570469
0,22,0.006755942
0,22.33333,0.006941983
0,22.66667,0.007128538
0,23,0.007315556
0,23.33333,0.007502987
0,23.66667,0.007690785
0,24,0.007878906
0,24.33333,0.008067307
0,24.66667,0.008255947
0,25,0.008444787
0,25.33333,0.008633791
0,25.66667,0.008822923
0,26,0.00901215
0,26.33333,0.009201439
0,26.66667,0.00939076
0,27,0.009580085
0,27.33333,0.009769385
0,27.66667,0.009958634
0,28,0.01014781
0,28.33333,0.01033688
0,28.66667,0.01052583
0,29,0.01071464
0,29.33333,0.01090328
0,29.66667,0.01109174
0,30,0.01127999
0,30.33333,0.01146803
0,30.66667,0.01165582
0,31,0.01184337
0,31.33333,0.01203064
0,31.66667,0.01221763
0,32,0.01240432
0,32.33333,0.01259071
0,32.66667,0.01277677
0,33,0.01296249
0,33.33333,0.01314787
0,33.66667,0.0133329
0,34,0.01351756
0,34.33333,0.01370184
0,34.66667,0.01388574
0,35,0.01406925
0,35.33333,0.01425236
0,35.66667,0.01443506
0,36,0.01461734
0,36.33333,0.0147992
0,36.66667,0.01498063
0,37,0.01516163
0,37.33333,0.01534219
0,37.66667,0.01552231
0,38,0.01570197
0,38.33333,0.01588119
0,38.66667,0.01605994
0,39,0.01623823
0,39.33333,0.01641605
0,39.66667,0.01659341
0,40,0.01677029
0,40.33333,0.01694669
0,40.66667,0.01712262
0,41,0.01729807
0,41.33333,0.01747303
0,41.66667,0.01764751
0,42,0.0178215
0,42.33333,0.017995
0,42.66667,0.01816801
0,43,0.01834054
0,43.33333,0.01851256
0,43.66667,0.0186841
0,44,0.01885514
0,44.33333,0.01902568
0,44.66667,0.01919573
0,45,0.01936528
0,45.33333,0.01953433
0,45.66667,0.01970289
0,46,0.01987095
0,46.33333,0.02003852
0,46.66667,0.02020559
0,47,0.02037216
0,47.33333,0.02053823
0,47.66667,0.02070381
0,48,0.02086889
0,48.33333,0.02103348
0,48.66667,0.02119758
0,49,0.02136118
0,49.33333,0.02152429
0,49.66667,0.0216869
0,50,0.02184903
0,50.33333,0.02201067
0,50.66667,0.02217181
0,51,0.02233247
0,51.33333,0.02249265
0,51.66667,0.02265234
0,52,0.02281155
0,52.33333,0.02297027
0,52.66667,0.02312851
0,53,0.02328627
0,53.33333,0.02344356
0,53.66667,0.02360036
0,54,0.02375669
0,54.33333,0.02391255
0,54.66667,0.02406794
0,55,0.02422285
0,55.33333,0.0243773
0,55.66667,0.02453128
0,56,0.0246848
0,56.33333,0.02483785
0,56.66667,0.02499043
0,57,0.02514256
0,57.33333,0.02529423
0,57.66667,0.02544544
0,58,0.0255962
0,58.33333,0.02574651
0,58.66667,0.02589636
0,59,0.02604576
0,59.33333,0.02619472
0,59.66667,0.02634323
0,60,0.02649129
0,60.33333,0.02663892
0,60.66667,0.0267861
0,61,0.02693285
0,61.33333,0.02707916
0,61.66667,0.02722503
0,62,0.02737047
0,62.33333,0.02751548
0,62.66667,0.02766007
0,63,0.02780422
0,63.33333,0.02794795
0,63.66667,0.02809126
0,64,0.02823415
0,64.33334,0.02837661
0,64.66666,0.02851866
0,65,0.0286603
0,65.33334,0.02880152
0,65.66666,0.02894233
0,66,0.02908273
0,66.33334,0.02922272
0,66.66666,0.0293623
0,67,0.02950149
0,67.33334,0.02964026
0,67.66666,0.02977864
0,68,0.02991663
0,68.33334,0.03005421
0,68.66666,0.0301914
0,69,0.0303282
0,69.33334,0.0304646
0,69.66666,0.03060062
0,70,0.03073625
0,70.33334,0.03087149
0,70.66666,0.03100635
0,71,0.03114083
0,71.33334,0.03127493
0,71.66666,0.03140865
0,72,0.03154199
0,72.33334,0.03167496
0,72.66666,0.03180756
0,73,0.03193978
0,73.33334,0.03207164
0,73.66666,0.03220313
0,74,0.03233425
0,74.33334,0.03246501
0,74.66666,0.0325954
0,75,0.03272544
0,75.33334,0.03285512
0,75.66666,0.03298443
0,76,0.0331134
0,76.33334,0.03324201
0,76.66666,0.03337026
0,77,0.03349817
0,77.33334,0.03362573
0,77.66666,0.03375294
0,78,0.0338798
0,78.33334,0.03400632
0,78.66666,0.0341325
0,79,0.03425834
0,79.33334,0.03438383
0,79.66666,0.034509
0,80,0.03463382
0,80.33334,0.03475831
0,80.66666,0.03488246
0,81,0.03500629
0,81.33334,0.03512978
0,81.66666,0.03525295
0,82,0.03537579
0,82.33334,0.0354983
0,82.66666,0.03562049
0,83,0.03574235
0,83.33334,0.0358639
0,83.66666,0.03598513
0,84,0.03610603
0,84.33334,0.03622662
0,84.66666,0.0363469
0,85,0.03646686
0,85.33334,0.03658651
0,85.66666,0.03670585
0,86,0.03682488
0,86.33334,0.0369436
0,86.66666,0.03706201
0,87,0.03718012
0,87.33334,0.03729792
0,87.66666,0.03741542
0,88,0.03753262
0,88.33334,0.03764952
0,88.66666,0.03776612
0,89,0.03788242
0,89.33334,0.03799843
0,89.66666,0.03811414
0,90,0.03822956
0,90.33334,0.03834468
0,90.66666,0.03845952
0,91,0.03857406
0,91.33334,0.03868832
0,91.66666,0.03880228
0,92,0.03891597
0,92.33334,0.03902936
0,92.66666,0.03914248
0,93,0.03925531
0,93.33334,0.03936786
0,93.66666,0.03948013
0,94,0.03959212
0,94.33334,0.03970383
0,94.66666,0.03981527
0,95,0.03992642
0,95.33334,0.04003731
0,95.66666,0.04014793
0,96,0.04025827
0,96.33334,0.04036834
0,96.66666,0.04047814
0,97,0.04058767
0,97.33334,0.04069693
0,97.66666,0.04080593
0,98,0.04091467
0,98.33334,0.04102314
0,98.66666,0.04113134
0,99,0.04123928
0,99.33334,0.04134696
0,99.66666,0.04145439
0,100,0.04156155
0,100.3333,0.04166846
0,100.6667,0.0417751
0,101,0.0418815
0,101.3333,0.04198764
0,101.6667,0.04209352
0,102,0.04219915
0,102.3333,0.04230453
0,102.6667,0.04240966
0,103,0.04251454
0,103.3333,0.04261917
0,103.6667,0.04272355
