"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,1.582401E-11
0,0.6666667,3.898627E-09
0,1,6.095355E-08
0,1.333333,3.458038E-07
0,1.666667,1.188588E-06
0,2,3.054277E-06
0,2.333333,6.508572E-06
0,2.666667,1.218587E-05
0,3,2.076311E-05
0,3.333333,3.293754E-05
0,3.666667,4.941004E-05
0,4,7.087193E-05
0,4.333333,9.799521E-05
0,4.666667,0.0001314255
0,5,0.0001717749
0,5.333333,0.0002196182
0,5.666667,0.0002754904
0,6,0.0003398847
0,6.333333,0.0004132518
0,6.666667,0.0004959992
0,7,0.0005884916
0,7.333333,0.0006910517
0,7.666667,0.0008039612
0,8,0.0009274619
0,8.333333,0.001061757
0,8.666667,0.001207015
0,9,0.001363366
0,9.333333,0.00153091
0,9.666667,0.001709715
0,10,0.001899819
0,10.33333,0.002101233
0,10.66667,0.002313942
0,11,0.002537908
0,11.33333,0.002773068
0,11.66667,0.003019341
0,12,0.003276627
0,12.33333,0.003544807
0,12.66667,0.003823747
0,13,0.004113299
0,13.33333,0.004413301
0,13.66667,0.004723579
0,14,0.005043949
0,14.33333,0.005374216
0,14.66667,0.005714178
0,15,0.006063625
0,15.33333,0.006422341
0,15.66667,0.006790104
0,16,0.007166686
0,16.33333,0.007551858
0,16.66667,0.007945383
0,17,0.008347027
0,17.33333,0.008756549
0,17.66667,0.009173711
0,18,0.009598271
0,18.33333,0.01002999
0,18.66667,0.01046862
0,19,0.01091394
0,19.33333,0.01136568
0,19.66667,0.01182363
0,20,0.01228754
0,20.33333,0.01275718
0,20.66667,0.01323232
0,21,0.01371272
0,21.33333,0.01419816
0,21.66667,0.01468841
0,22,0.01518326
0,22.33333,0.01568249
0,22.66667,0.01618588
0,23,0.01669322
0,23.33333,0.01720431
0,23.66667,0.01771895
0,24,0.01823693
0,24.33333,0.01875806
0,24.66667,0.01928215
0,25,0.01980901
0,25.33333,0.02033847
0,25.66667,0.02087034
0,26,0.02140444
0,26.33333,0.02194062
0,26.66667,0.02247869
0,27,0.02301851
0,27.33333,0.02355991
0,27.66667,0.02410274
0,28,0.02464685
0,28.33333,0.02519209
0,28.66667,0.02573833
0,29,0.02628542
0,29.33333,0.02683324
0,29.66667,0.02738165
0,30,0.02793053
0,30.33333,0.02847975
0,30.66667,0.0290292
0,31,0.02957876
0,31.33333,0.03012833
0,31.66667,0.03067779
0,32,0.03122705
0,32.33333,0.031776
0,32.66667,0.03232454
0,33,0.03287258
0,33.33333,0.03342004
0,33.66667,0.03396682
0,34,0.03451284
0,34.33333,0.03505803
0,34.66667,0.03560229
0,35,0.03614557
0,35.33333,0.03668778
0,35.66667,0.03722886
0,36,0.03776874
0,36.33333,0.03830736
0,36.66667,0.03884466
0,37,0.03938057
0,37.33333,0.03991504
0,37.66667,0.04044802
0,38,0.04097946
