"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,3.698605E-11
0,0.6666667,9.492329E-09
0,1,1.529546E-07
0,1.333333,8.911564E-07
0,1.666667,3.134684E-06
0,2,8.218187E-06
0,2.333333,1.782515E-05
0,2.666667,3.390422E-05
0,3,5.859066E-05
0,3.333333,9.413819E-05
0,3.666667,0.0001428591
0,4,0.0002070725
0,4.333333,0.0002890633
0,4.666667,0.0003910482
0,5,0.0005151483
0,5.333333,0.0006633666
0,5.666667,0.0008375719
0,6,0.001039488
0,6.333333,0.001270684
0,6.666667,0.001532574
0,7,0.001826409
0,7.333333,0.002153285
0,7.666667,0.002514141
0,8,0.002909762
0,8.333333,0.003340789
0,8.666667,0.00380772
0,9,0.004310921
0,9.333333,0.004850633
0,9.666667,0.005426973
0,10,0.006039952
0,10.33333,0.006689477
0,10.66667,0.007375357
0,11,0.008097315
0,11.33333,0.008854994
0,11.66667,0.009647961
0,12,0.01047572
0,12.33333,0.01133771
0,12.66667,0.01223332
0,13,0.01316189
0,13.33333,0.01412273
0,13.66667,0.01511508
0,14,0.01613819
0,14.33333,0.01719124
0,14.66667,0.01827343
0,15,0.0193839
0,15.33333,0.02052182
0,15.66667,0.0216863
0,16,0.02287646
0,16.33333,0.02409143
0,16.66667,0.02533031
0,17,0.02659222
0,17.33333,0.02787628
0,17.66667,0.02918159
0,18,0.03050729
0,18.33333,0.0318525
0,18.66667,0.03321636
0,19,0.03459801
0,19.33333,0.03599662
0,19.66667,0.03741135
0,20,0.03884139
0,20.33333,0.04028593
0,20.66667,0.04174418
0,21,0.04321538
0,21.33333,0.04469875
0,21.66667,0.04619356
0,22,0.04769908
0,22.33333,0.04921461
0,22.66667,0.05073944
0,23,0.0522729
0,23.33333,0.05381434
0,23.66667,0.05536311
0,24,0.05691858
0,24.33333,0.05848016
0,24.66667,0.06004725
0,25,0.06161927
0,25.33333,0.06319568
0,25.66667,0.06477593
0,26,0.0663595
0,26.33333,0.06794588
0,26.66667,0.06953459
0,27,0.07112516
0,27.33333,0.07271711
0,27.66667,0.07431002
0,28,0.07590345
0,28.33333,0.077497
0,28.66667,0.07909026
0,29,0.08068286
0,29.33333,0.08227441
0,29.66667,0.08386458
0,30,0.08545303
0,30.33333,0.0870394
0,30.66667,0.08862341
0,31,0.09020475
0,31.33333,0.09178311
0,31.66667,0.09335823
0,32,0.09492984
0,32.33333,0.09649768
0,32.66667,0.09806151
0,33,0.0996211
0,33.33333,0.1011762
0,33.66667,0.1027267
0,34,0.1042722
0,34.33333,0.1058127
0,34.66667,0.107348
0,35,0.1088778
0,35.33333,0.110402
0,35.66667,0.1119204
0,36,0.113433
0,36.33333,0.1149395
0,36.66667,0.1164398
0,37,0.1179338
0,37.33333,0.1194214
0,37.66667,0.1209024
0,38,0.1223769
0,38.33333,0.1238446
0,38.66667,0.1253054
0,39,0.1267594
0,39.33333,0.1282063
0,39.66667,0.1296462
0,40,0.131079
0,40.33333,0.1325045
0,40.66667,0.1339228
0,41,0.1353338
0,41.33333,0.1367375
0,41.66667,0.1381337
0,42,0.1395225
0,42.33333,0.1409038
0,42.66667,0.1422776
0,43,0.1436439
0,43.33333,0.1450026
0,43.66667,0.1463537
0,44,0.1476972
0,44.33333,0.1490332
0,44.66667,0.1503615
0,45,0.1516822
0,45.33333,0.1529953
0,45.66667,0.1543007
0,46,0.1555985
0,46.33333,0.1568887
0,46.66667,0.1581713
0,47,0.1594462
0,47.33333,0.1607136
0,47.66667,0.1619734
0,48,0.1632257
0,48.33333,0.1644703
0,48.66667,0.1657075
0,49,0.1669372
0,49.33333,0.1681593
0,49.66667,0.169374
0,50,0.1705813
0,50.33333,0.1717812
0,50.66667,0.1729737
0,51,0.1741589
0,51.33333,0.1753367
0,51.66667,0.1765073
0,52,0.1776706
0,52.33333,0.1788267
0,52.66667,0.1799757
0,53,0.1811175
0,53.33333,0.1822522
0,53.66667,0.1833798
0,54,0.1845005
0,54.33333,0.1856141
0,54.66667,0.1867208
0,55,0.1878206
0,55.33333,0.1889135
0,55.66667,0.1899996
0,56,0.191079
0,56.33333,0.1921516
0,56.66667,0.1932176
0,57,0.1942769
0,57.33333,0.1953295
0,57.66667,0.1963757
0,58,0.1974153
0,58.33333,0.1984485
0,58.66667,0.1994753
0,59,0.2004957
0,59.33333,0.2015098
0,59.66667,0.2025176
0,60,0.2035191
0,60.33333,0.2045145
0,60.66667,0.2055037
0,61,0.2064869
0,61.33333,0.207464
0,61.66667,0.2084351
0,62,0.2094002
0,62.33333,0.2103595
0,62.66667,0.2113128
0,63,0.2122604
0,63.33333,0.2132022
0,63.66667,0.2141382
0,64,0.2150686
0,64.33334,0.2159934
0,64.66666,0.2169126
0,65,0.2178262
0,65.33334,0.2187343
