"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,8.583294E-10
0,0.6666667,1.884542E-07
0,1,3.081902E-06
0,1.333333,1.903495E-05
0,1.666667,7.156042E-05
0,2,0.0001999909
0,2.333333,0.0004596611
0,2.666667,0.0009203549
0,3,0.001663765
0,3.333333,0.002780404
0,3.666667,0.004366413
0,4,0.006520525
0,4.333333,0.009341258
0,4.666667,0.01292447
0,5,0.01736139
0,5.333333,0.02273702
0,5.666667,0.02912897
0,6,0.03660657
0,6.333333,0.04523036
0,6.666667,0.05505186
0,7,0.06611351
0,7.333333,0.07844894
0,7.666667,0.09208319
0,8,0.1070332
0,8.333333,0.1233084
0,8.666667,0.1409111
0,9,0.1598373
0,9.333333,0.1800772
0,9.666667,0.201616
0,10,0.2244341
0,10.33333,0.2485081
0,10.66667,0.2738113
0,11,0.3003139
0,11.33333,0.327984
0,11.66667,0.3567876
0,12,0.3866892
0,12.33333,0.4176522
0,12.66667,0.4496392
0,13,0.4826122
0,13.33333,0.516533
0,13.66667,0.5513632
0,14,0.5870649
0,14.33333,0.6236001
0,14.66667,0.6609317
0,15,0.6990229
0,15.33333,0.7378377
0,15.66667,0.7773408
0,16,0.817498
0,16.33333,0.8582757
0,16.66667,0.8996416
0,17,0.9415639
0,17.33333,0.9840122
0,17.66667,1.026957
0,18,1.07037
0,18.33333,1.114223
0,18.66667,1.158489
0,19,1.203144
0,19.33333,1.248163
0,19.66667,1.293521
0,20,1.339197
0,20.33333,1.385168
0,20.66667,1.431414
0,21,1.477913
0,21.33333,1.524649
0,21.66667,1.5716
0,22,1.618751
0,22.33333,1.666084
0,22.66667,1.713582
0,23,1.761231
0,23.33333,1.809015
0,23.66667,1.856921
0,24,1.904934
0,24.33333,1.953042
0,24.66667,2.001232
0,25,2.049492
0,25.33333,2.097811
0,25.66667,2.146179
0,26,2.194584
0,26.33333,2.243017
0,26.66667,2.291469
0,27,2.339929
0,27.33333,2.388391
0,27.66667,2.436845
0,28,2.485283
0,28.33333,2.533699
0,28.66667,2.582085
0,29,2.630434
0,29.33333,2.67874
0,29.66667,2.726996
0,30,2.775197
0,30.33333,2.823337
0,30.66667,2.871411
0,31,2.919414
0,31.33333,2.96734
0,31.66667,3.015186
0,32,3.062946
0,32.33333,3.110618
0,32.66667,3.158196
0,33,3.205677
0,33.33333,3.253058
0,33.66667,3.300335
0,34,3.347505
0,34.33333,3.394565
0,34.66667,3.441513
0,35,3.488344
0,35.33333,3.535058
0,35.66667,3.581652
0,36,3.628123
0,36.33333,3.674469
0,36.66667,3.720688
0,37,3.766779
0,37.33333,3.812739
0,37.66667,3.858567
0,38,3.904262
0,38.33333,3.949821
0,38.66667,3.995244
0,39,4.04053
0,39.33333,4.085676
0,39.66667,4.130683
0,40,4.175549
0,40.33333,4.220273
0,40.66667,4.264855
0,41,4.309293
0,41.33333,4.353588
0,41.66667,4.397738
0,42,4.441742
0,42.33333,4.485601
0,42.66667,4.529314
0,43,4.57288
0,43.33333,4.6163
0,43.66667,4.659572
0,44,4.702697
0,44.33333,4.745675
0,44.66667,4.788505
0,45,4.831187
0,45.33333,4.873722
0,45.66667,4.91611
0,46,4.958349
0,46.33333,5.000441
0,46.66667,5.042386
0,47,5.084183
0,47.33333,5.125834
0,47.66667,5.167337
0,48,5.208694
0,48.33333,5.249904
0,48.66667,5.290967
0,49,5.331886
0,49.33333,5.372658
0,49.66667,5.413285
0,50,5.453768
0,50.33333,5.494106
0,50.66667,5.5343
0,51,5.57435
0,51.33333,5.614258
0,51.66667,5.654022
0,52,5.693645
0,52.33333,5.733125
0,52.66667,5.772464
0,53,5.811663
0,53.33333,5.850721
0,53.66667,5.88964
0,54,5.928419
0,54.33333,5.96706
0,54.66667,6.005563
0,55,6.043929
0,55.33333,6.082157
0,55.66667,6.12025
0,56,6.158206
0,56.33333,6.196028
0,56.66667,6.233715
0,57,6.271268
0,57.33333,6.308689
0,57.66667,6.345976
0,58,6.383132
0,58.33333,6.420156
0,58.66667,6.457049
0,59,6.493813
0,59.33333,6.530447
0,59.66667,6.566952
0,60,6.603329
0,60.33333,6.639578
0,60.66667,6.675701
0,61,6.711697
0,61.33333,6.747568
0,61.66667,6.783314
0,62,6.818936
0,62.33333,6.854434
0,62.66667,6.88981
0,63,6.925063
0,63.33333,6.960194
0,63.66667,6.995204
0,64,7.030094
0,64.33334,7.064864
0,64.66666,7.099515
0,65,7.134048
0,65.33334,7.168463
0,65.66666,7.202761
0,66,7.236942
0,66.33334,7.271008
0,66.66666,7.304958
0,67,7.338793
0,67.33334,7.372515
0,67.66666,7.406124
0,68,7.439619
0,68.33334,7.473002
0,68.66666,7.506275
0,69,7.539436
0,69.33334,7.572487
0,69.66666,7.605428
0,70,7.638261
0,70.33334,7.670985
0,70.66666,7.703601
0,71,7.73611
0,71.33334,7.768512
0,71.66666,7.800808
0,72,7.832999
0,72.33334,7.865085
0,72.66666,7.897067
0,73,7.928945
0,73.33334,7.96072
0,73.66666,7.992393
0,74,8.023963
0,74.33334,8.055432
0,74.66666,8.086801
0,75,8.118069
0,75.33334,8.149238
0,75.66666,8.180306
0,76,8.211277
0,76.33334,8.24215
0,76.66666,8.272925
0,77,8.303603
0,77.33334,8.334185
0,77.66666,8.364671
0,78,8.395061
0,78.33334,8.425357
0,78.66666,8.455558
0,79,8.485664
0,79.33334,8.515678
0,79.66666,8.5456
0,80,8.575429
0,80.33334,8.605165
0,80.66666,8.634811
0,81,8.664367
0,81.33334,8.693831
0,81.66666,8.723206
0,82,8.752491
0,82.33334,8.781688
0,82.66666,8.810796
0,83,8.839816
0,83.33334,8.86875
0,83.66666,8.897595
0,84,8.926354
0,84.33334,8.955028
0,84.66666,8.983616
0,85,9.012118
0,85.33334,9.040536
0,85.66666,9.06887
0,86,9.097119
0,86.33334,9.125286
0,86.66666,9.15337
0,87,9.181371
0,87.33334,9.209291
0,87.66666,9.237127
0,88,9.264884
0,88.33334,9.29256
0,88.66666,9.320155
0,89,9.34767
0,89.33334,9.375106
0,89.66666,9.402462
0,90,9.42974
0,90.33334,9.45694
0,90.66666,9.484061
0,91,9.511106
0,91.33334,9.538073
0,91.66666,9.564963
0,92,9.591778
0,92.33334,9.618516
0,92.66666,9.645178
0,93,9.671765
0,93.33334,9.698278
0,93.66666,9.724716
0,94,9.751081
0,94.33334,9.777371
0,94.66666,9.803589
0,95,9.829733
0,95.33334,9.855804
0,95.66666,9.881804
0,96,9.907731
0,96.33334,9.933588
0,96.66666,9.959373
0,97,9.985086
0,97.33334,10.01073
0,97.66666,10.0363
0,98,10.06181
0,98.33334,10.08724
0,98.66666,10.11261
0,99,10.1379
0,99.33334,10.16313
0,99.66666,10.18829
0,100,10.21338
0,100.3333,10.23841
0,100.6667,10.26337
0,101,10.28826
0,101.3333,10.31308
0,101.6667,10.33784
0,102,10.36253
0,102.3333,10.38716
0,102.6667,10.41172
0,103,10.43622
0,103.3333,10.46065
