"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,9.998499E-10
0,0.6666667,2.91892E-07
0,1,5.83987E-06
0,1.333333,4.112045E-05
0,1.666667,0.0001681513
0,2,0.0004956071
0,2.333333,0.001176929
0,2.666667,0.002401259
0,3,0.004381702
0,3.333333,0.007343713
0,3.666667,0.01151502
0,4,0.01711775
0,4.333333,0.02436234
0,4.666667,0.03344316
0,5,0.04453564
0,5.333333,0.05779478
0,5.666667,0.07335426
0,6,0.09132606
0,6.333333,0.1118009
0,6.666667,0.1348489
0,7,0.1605204
0,7.333333,0.1888483
0,7.666667,0.2198485
0,8,0.2535218
0,8.333333,0.2898552
0,8.666667,0.3288232
0,9,0.3703896
0,9.333333,0.414509
0,9.666667,0.4611276
0,10,0.5101851
0,10.33333,0.5616153
0,10.66667,0.6153477
0,11,0.6713076
0,11.33333,0.729418
0,11.66667,0.7895997
0,12,0.8517721
0,12.33333,0.915854
0,12.66667,0.9817637
0,13,1.04942
0,13.33333,1.118741
0,13.66667,1.189649
0,14,1.262064
0,14.33333,1.335909
0,14.66667,1.411109
0,15,1.487589
0,15.33333,1.565279
0,15.66667,1.644108
0,16,1.724009
0,16.33333,1.804915
0,16.66667,1.886764
0,17,1.969494
0,17.33333,2.053045
0,17.66667,2.137362
0,18,2.222388
0,18.33333,2.30807
0,18.66667,2.394359
0,19,2.481205
0,19.33333,2.56856
0,19.66667,2.656381
0,20,2.744623
0,20.33333,2.833245
0,20.66667,2.922207
0,21,3.011472
0,21.33333,3.101003
0,21.66667,3.190765
0,22,3.280725
0,22.33333,3.37085
0,22.66667,3.461111
0,23,3.551477
0,23.33333,3.641922
0,23.66667,3.732419
0,24,3.822941
0,24.33333,3.913466
0,24.66667,4.00397
0,25,4.09443
0,25.33333,4.184825
0,25.66667,4.275137
0,26,4.365345
0,26.33333,4.455431
0,26.66667,4.545378
0,27,4.635169
0,27.33333,4.724789
0,27.66667,4.814222
0,28,4.903455
0,28.33333,4.992474
0,28.66667,5.081265
0,29,5.169818
0,29.33333,5.25812
0,29.66667,5.346161
0,30,5.433929
0,30.33333,5.521417
0,30.66667,5.608613
0,31,5.69551
0,31.33333,5.782099
0,31.66667,5.868372
0,32,5.954323
0,32.33333,6.039943
0,32.66667,6.125227
0,33,6.21017
0,33.33333,6.294764
0,33.66667,6.379004
0,34,6.462887
0,34.33333,6.546408
0,34.66667,6.62956
0,35,6.712343
0,35.33333,6.79475
0,35.66667,6.87678
0,36,6.958428
0,36.33333,7.039693
0,36.66667,7.120572
0,37,7.201062
0,37.33333,7.281161
0,37.66667,7.360868
0,38,7.44018
0,38.33333,7.519097
0,38.66667,7.597618
0,39,7.67574
0,39.33333,7.753464
0,39.66667,7.830789
0,40,7.907714
0,40.33333,7.984239
0,40.66667,8.060363
0,41,8.136087
0,41.33333,8.211411
0,41.66667,8.286334
0,42,8.360858
0,42.33333,8.434982
0,42.66667,8.508708
0,43,8.582036
0,43.33333,8.654967
0,43.66667,8.727503
0,44,8.799644
0,44.33333,8.871389
0,44.66667,8.942743
0,45,9.013705
