"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,1.113855E-09
0,0.6666667,2.967786E-07
0,1,5.579839E-06
0,1.333333,3.798767E-05
0,1.666667,0.0001532425
0,2,0.0004515795
0,2.333333,0.001081503
0,2.666667,0.00223777
0,3,0.004155533
0,3.333333,0.00710224
0,3.666667,0.0113688
0,4,0.01726071
0,4.333333,0.02508964
0,4.666667,0.03516613
0,5,0.04779327
0,5.333333,0.06326142
0,5.666667,0.08184413
0,6,0.1037949
0,6.333333,0.1293444
0,6.666667,0.1586997
0,7,0.1920429
0,7.333333,0.2295312
0,7.666667,0.2712972
0,8,0.3174487
0,8.333333,0.3680701
0,8.666667,0.4232234
0,9,0.4829493
0,9.333333,0.5472685
0,9.666667,0.6161832
0,10,0.6896784
0,10.33333,0.767724
0,10.66667,0.8502752
0,11,0.9372745
0,11.33333,1.028653
0,11.66667,1.124331
0,12,1.224221
0,12.33333,1.328227
0,12.66667,1.436246
0,13,1.54817
0,13.33333,1.663884
0,13.66667,1.783272
0,14,1.906213
0,14.33333,2.032584
0,14.66667,2.16226
0,15,2.295115
0,15.33333,2.431022
0,15.66667,2.569854
0,16,2.711483
0,16.33333,2.855784
0,16.66667,3.002632
0,17,3.151901
0,17.33333,3.30347
0,17.66667,3.457218
0,18,3.613026
0,18.33333,3.770777
0,18.66667,3.930357
0,19,4.091655
0,19.33333,4.25456
0,19.66667,4.418966
0,20,4.584768
0,20.33333,4.751867
0,20.66667,4.920162
0,21,5.089559
0,21.33333,5.259964
0,21.66667,5.431288
0,22,5.603444
0,22.33333,5.776346
0,22.66667,5.949914
0,23,6.124069
0,23.33333,6.298736
0,23.66667,6.473839
0,24,6.649311
0,24.33333,6.825081
0,24.66667,7.001086
0,25,7.177261
0,25.33333,7.353548
0,25.66667,7.529888
0,26,7.706224
0,26.33333,7.882505
0,26.66667,8.05868
0,27,8.234698
0,27.33333,8.410515
0,27.66667,8.586083
0,28,8.761362
0,28.33333,8.936311
0,28.66667,9.11089
0,29,9.285064
0,29.33333,9.458795
0,29.66667,9.632051
0,30,9.8048
0,30.33333,9.977012
0,30.66667,10.14866
0,31,10.31971
0,31.33333,10.49014
0,31.66667,10.65993
0,32,10.82906
0,32.33333,10.99749
0,32.66667,11.16522
0,33,11.33222
0,33.33333,11.49847
0,33.66667,11.66396
0,34,11.82867
0,34.33333,11.99259
0,34.66667,12.1557
0,35,12.31799
0,35.33333,12.47944
0,35.66667,12.64005
0,36,12.7998
0,36.33333,12.95869
0,36.66667,13.1167
0,37,13.27384
0,37.33333,13.43008
0,37.66667,13.58543
0,38,13.73987
0,38.33333,13.89341
0,38.66667,14.04603
0,39,14.19774
0,39.33333,14.34853
0,39.66667,14.49839
0,40,14.64732
0,40.33333,14.79533
0,40.66667,14.9424
0,41,15.08854
0,41.33333,15.23374
0,41.66667,15.37801
0,42,15.52135
0,42.33333,15.66375
0,42.66667,15.80521
0,43,15.94574
0,43.33333,16.08534
0,43.66667,16.224
0,44,16.36174
0,44.33333,16.49854
0,44.66667,16.63442
0,45,16.76937
0,45.33333,16.9034
0,45.66667,17.03651
0,46,17.1687
0,46.33333,17.29999
0,46.66667,17.43036
0,47,17.55982
0,47.33333,17.68838
0,47.66667,17.81604
0,48,17.9428
0,48.33333,18.06867
0,48.66667,18.19365
0,49,18.31775
0,49.33333,18.44097
0,49.66667,18.56332
0,50,18.68479
0,50.33333,18.8054
0,50.66667,18.92514
0,51,19.04403
0,51.33333,19.16207
0,51.66667,19.27926
0,52,19.39561
0,52.33333,19.51112
0,52.66667,19.6258
0,53,19.73965
0,53.33333,19.85268
0,53.66667,19.96489
0,54,20.07629
0,54.33333,20.18688
0,54.66667,20.29668
